	input//#MasterChefMx.edges	input//#BuenFinSeguro.edges	input//Chile.edges	input//#SiguesTuLopez.edges	input//#Elecciones2020.edges	input//#JusticeForJohnnyDepp.edges	input//Worlds2020.edges	input//#Fakeministas.edges	input//#TarjetaRosa.edges	input//Viena.edges	input//#TheMandalorian.edges	input//#UnPeligroParaMexico.edges	input//Halloween.edges	input//#1MTrajeados.edges	input//#LordMontajes.edges	input//KAROL.edges	input//Coco.edges	input//#POSITIONS.edges	input//#nosfaltajorge.edges	input//Maluma.edges	input//Pfizer.edges	input//#SoloLasMujeresMenstruan.edges	input//#OfrendaEdomex.edges	input//#XSXFridgeSweeps.edges	input//#LaBrujaDelPalacio.edges	input//#ImolaGP.edges	input//Bob_Esponja.edges	input//FONDEN.edges	input//SystemofaDown.edges	input//Rayados.edges	input//#MatriomonioIgualitarioPuebla.edges	input//Trump.edges	input//Censura.edges	input//DiaDeMuertos.edges	input//#HappyAuronDay.edges	input//#CovidDerrotaAPuebla.edges	input//#RatitaNoEstasSolo.edges	input//Pumas.edges	input//#Confetti.edges	input//#TrumpvsBiden.edges	input//Manchester_United.edges	input//#Temblor.edges	input//#JusticiaParaAlexis.edges	input//Greta.edges	input//#FelizMartes.edges	input//Chivas.edges	input//#FelizMiercoles.edges	input//Yakult.edges	input//#ByeByeTrump.edges	input//#SerieMundial.edges
input//#MasterChefMx.edges	0	12.436246160720437	2.9062485337807504	1.8209384043413004	6.154884375548239	3.7080629459025127	4.591357889986587	3.661400046994409	13.51244440066074	5.851275071270326	3.6607287335355023	5.806239633092988	5.481397992577488	2.312747872296813	3.239555409949422	4.974609306536403	5.0877033610525215	6.590257886093033	6.5452666025703685	4.019324794891612	6.209408737108025	3.9763245168389543	12.93736415533444	14.011527646365096	5.336800534395689	3.7229473404028157	7.293827063727039	3.8579611786934507	5.657826077199967	2.9035190810291693	4.828379222639527	6.208227039076554	5.61844788192723	6.225146149635804	2.2328065352896664	2.7013344148974063	3.1207697820099503	3.2214849545942825	2.815501447017578	5.812783879729367	6.243840938874251	6.325259508423028	2.0449746270754097	7.466852470060006	5.658352169854084	3.069940562531234	4.2226010717198275	7.369571988435993	3.5998747583838964	4.439116643332667
input//#BuenFinSeguro.edges	12.436246160720437	0	12.221715910016789	11.22842168689766	6.983696643467715	8.742619979283052	8.174480253795803	9.289308302651818	1.4879253151162937	7.16333206079499	9.492279169640486	18.217850183490885	7.881589907847813	11.397597226702095	14.125948445957235	17.3571155416254	14.769731269727641	5.901614468488255	6.199337379020484	9.75407191248499	6.5528780145070815	8.583054609026531	1.0549823209722622	2.3415806478793253	17.704477200055045	9.13864792404942	5.446472846775748	8.726851612791837	7.258464628226926	11.011580507257861	17.105732764357345	6.466584918020835	7.043748589943175	6.7745184643772065	11.92840309863431	11.740535478437074	10.072699995040928	9.377172163551071	10.186520137286658	8.047409115221582	6.528159655244278	6.685111068984791	10.534595904324684	5.6819771110840716	7.267536138572063	10.170830636777296	16.45167911033806	5.335490226888655	10.342325409752902	8.203336305904628
input//Chile.edges	2.9062485337807504	12.221715910016789	0	2.5386169470719135	5.469305555848187	4.328961966365212	4.38210744602541	3.817323961939097	13.297914149957094	5.358142456171199	4.69275626224454	6.124495257549185	4.785581009138944	2.875726432891765	2.9747907958720288	5.217445957354405	3.7045815086568243	6.343618519149813	6.191249551341932	3.732243343014016	5.8458436767260356	4.348975142879034	12.722833904630795	13.796997395661448	5.646764675805861	3.983540677260227	7.009360142311953	4.075213846918337	5.278792122158049	2.953880014847246	4.971020927813568	5.994811842354131	5.347584880625815	5.860421770545801	3.0826197086872043	2.7702871938000015	3.2705996578021805	3.4680149378208522	3.2199134963229126	5.0271859989651935	5.9346359089134	6.044020814230099	3.2050445210287624	7.22480559585368	5.537374246109088	2.725113006942732	4.2299632003212695	7.155041737732354	2.505695714836781	4.5068897353219395
input//#SiguesTuLopez.edges	1.8209384043413004	11.22842168689766	2.5386169470719135	0	4.666319472259393	2.705967798233943	3.187085511836896	2.47411853015256	12.304619926837965	4.432188292353094	3.143275355959714	6.989428496593227	4.356773992083055	1.5972021252054969	3.2273505430329803	6.128693854727732	5.685189713786022	5.326807218409408	5.206559872962115	2.920001019761038	4.801327448526828	2.816523159532317	11.729539681511662	12.803703172542319	6.476055513157383	2.570967763076201	6.044112905212286	2.5834643910941653	4.297894928274156	1.8159190658551043	5.8773110774596855	5.064972567674961	4.354290657506687	4.852242462893362	1.7254363073005368	1.8411879795497117	1.7810993808489883	2.0028009511552622	1.7889120959277935	4.360960863642873	4.986148740105049	5.095399130072131	1.3866319710420356	6.231511372734549	4.3238781839706935	1.7588258005412	5.247233572762678	6.17420831784045	2.499335285702995	3.200325970828948
input//#Elecciones2020.edges	6.154884375548239	6.983696643467715	5.469305555848187	4.666319472259393	0	4.113379503769336	2.5164590839118715	4.0662366752023775	7.994023404508243	1.7321098735971732	4.299929244165676	11.465439829322284	2.7571501712926247	5.489100303812124	7.381569979470227	10.604705187456794	8.144583276796254	1.8732715965227298	2.4991728559242823	4.009229623226436	1.938228490905739	3.3982861211145536	7.506001837640239	8.32769183981326	10.95206684588644	3.96993917071581	2.559524873590873	3.375004302174535	2.3024139925768203	4.673713645252241	10.353322410188744	2.214853111927686	2.1015175709102767	3.0187260917505268	5.307798974067439	5.49321421073168	4.642536438970497	3.2913530620326346	4.010249238972478	2.7228897451974228	2.254471398197795	2.3398886640631136	4.981853330563166	2.711312169750201	3.0713781577465356	3.6675355053291825	9.699268756169458	2.533155920675014	3.4459132398318246	3.0584328919321786
input//#JusticeForJohnnyDepp.edges	3.7080629459025127	8.742619979283052	4.328961966365212	2.705967798233943	4.113379503769336	0	2.662883203377388	1.8945000624810715	9.818818219223356	3.655311679760718	2.434651098618489	9.493094742246855	4.325143191880986	3.3017378044080385	5.790507950112694	8.639132695981571	7.666351538806735	3.857348924361806	3.541258072043362	4.551655323605345	3.9111365088933825	2.780798451824398	9.295220374109194	10.317901464927706	8.97888974100626	2.3705138088907787	4.1825839633847774	2.0087294839200562	2.7999140939466534	3.8046804386246302	8.392476899766882	3.0553560099114843	3.4209269991721754	5.122401176337095	4.093245601663086	4.136754644861656	2.263067470851922	2.1499234653079693	3.1815038679257612	4.925386198961834	2.9750149858454185	3.2839758069757714	1.8922250715727802	5.109417483660323	2.6632045919565934	3.2291489793468697	7.808226286220154	4.007016526466203	3.738046536264743	2.2219153457744687
input//Worlds2020.edges	4.591357889986587	8.174480253795803	4.38210744602541	3.187085511836896	2.5164590839118715	2.662883203377388	0	2.607789630762441	9.261808470866736	2.993067533264104	2.8689362418825888	10.043369929695084	3.816561531235164	4.13399584255862	6.073839968254269	9.191537044899007	7.248075067874983	2.8454895495804293	3.222109289367542	2.7966774743290967	2.9281271936576987	2.3374959189025515	8.847653307197021	9.749761739440462	9.529996946259242	1.7448107022917971	3.395415158797765	2.4114443343988885	2.323286197600757	2.900724861662466	8.931252510561544	3.3451632331689027	2.271137006398068	3.0471105234733336	4.064433770269641	4.548392193680274	3.2604056947258573	1.4961792660699162	2.7824018265724946	3.294356926264094	2.294780713201805	2.5848483012108145	3.22291555903836	3.6873098482159454	1.7117423874413045	2.114432252038484	8.370172919386185	3.6381841193700275	3.3042744143055995	1.0475699321373366
input//#Fakeministas.edges	3.661400046994409	9.289308302651818	3.817323961939097	2.47411853015256	4.0662366752023775	1.8945000624810715	2.607789630762441	0	10.365506542592124	3.4182845610721975	2.974606795344749	9.070096277519864	3.8297100410211704	2.926845986711065	5.318918316816076	8.134194782160435	7.14713868942462	3.8961183123062746	3.392278089135761	3.9984776375373507	3.2328645343912012	2.8411156058122584	9.790426297265821	10.864589788296476	8.53891880180059	2.158603984119017	4.127986987653914	1.278916670845688	2.773263038603006	2.9117660805192673	7.89759903674556	3.454097901479692	2.8418391261281917	4.779753411494207	3.753083662565715	3.654720719443535	1.3092416758121537	2.120013367779008	2.887743002338263	4.792218072591596	3.4247945347282247	3.6048451982829968	1.928504607911563	4.927077471770424	2.9065584350956453	2.694661522273428	7.23549922509889	4.299133114125562	3.725261624364998	2.2633133126255753
input//#TarjetaRosa.edges	13.51244440066074	1.4879253151162937	13.297914149957094	12.304619926837965	7.994023404508243	9.818818219223356	9.261808470866736	10.365506542592124	0	8.123152931010564	10.587915445293822	19.294048423431192	8.68985793452798	12.473795466642402	15.202146685897539	18.433313781565705	15.650644114894794	6.978180063957078	7.169559414588166	10.830270152425296	7.5241643416006525	9.673658807495235	0.9536133888716769	1.8462320493114894	18.78067543999535	10.233963622116892	6.288554007645142	9.80304985273214	8.202596437064987	12.087778747198165	18.18193100429765	7.440043627829292	8.011009547923864	7.833046641687217	13.004601338574615	12.816733718377382	11.148898234981237	10.453370403491375	11.26271837722696	8.727420807033917	7.559016562320782	7.582169972331879	11.610794144264991	6.361988802896408	8.261870907498661	11.247028876717598	17.527877350278366	6.230818114970576	11.314983430762393	9.301653555026476
input//Viena.edges	5.851275071270326	7.16333206079499	5.358142456171199	4.432188292353094	1.7321098735971732	3.655311679760718	2.993067533264104	3.4182845610721975	8.123152931010564	0	4.302189826070774	11.329072855540982	2.410382585203505	4.9031224649096	7.4452588491194955	10.46948929033607	8.230469076201123	1.948482371520652	2.3280515611502697	4.488842984481876	1.7019940212110398	3.3360731352155772	7.635131364142559	8.49571514132745	10.814867854300385	3.9237867996561624	2.7402780525416137	2.977535139828448	1.9064226930238428	4.813826226158229	10.228455013061009	2.063534200902036	1.956968726664152	3.37874831842719	5.565812774749312	5.1623412728229265	3.8388517135147944	3.4047654619076626	4.311721832836373	3.315170683433741	2.4652602069001626	2.5285972491473454	4.361056383121166	2.813417862105925	3.1806504117960865	4.223116381168693	9.53124545465527	2.6220479012544557	3.633205552353643	3.3817507076786177
input//#TheMandalorian.edges	3.6607287335355023	9.492279169640486	4.69275626224454	3.143275355959714	4.299929244165676	2.434651098618489	2.8689362418825888	2.974606795344749	10.587915445293822	4.302189826070774	0	8.924067691404304	4.245975877437433	3.6747990427667414	5.762590079242256	8.410434904005433	6.961910414034314	4.267583540833388	4.376487801527248	4.2163967008970085	4.3690694497092455	2.861357980563958	10.099893878425814	10.950007902145092	8.419875348423606	2.762173205522754	4.689135876703659	2.8975600559950245	3.631437576148814	3.5784848500454385	8.0810055652732	3.9335720878986886	3.597742474186222	4.824575615333869	4.044778590935505	4.493401457214567	3.4044357932947564	2.3200296263243065	3.1862724256167883	4.704697459236293	3.5840653825407505	3.419191311760065	2.500462238898636	5.078948022707121	3.200088572362561	3.005173007633084	7.658435286914987	4.626531323509095	4.033401550482937	2.888585507647414
input//#UnPeligroParaMexico.edges	5.806239633092988	18.217850183490885	6.124495257549185	6.989428496593227	11.465439829322284	9.493094742246855	10.043369929695084	9.070096277519864	19.294048423431192	11.329072855540982	8.924067691404304	0	10.798221960615113	6.820252956788791	4.091901737533652	1.6330719436424124	4.984737622780655	12.316235715002632	12.161559160513328	8.463778271005895	11.769884081830538	9.634795574464361	18.718968178104888	19.793131669135544	0.7437373766730602	9.079202259441463	13.007774779545143	9.534847043705094	11.266045984509448	7.278283043349137	1.236711451652548	11.962040066559101	11.343719154099912	11.788758016718198	6.289447084856579	6.537397712274325	8.251147797232786	8.84067801993982	8.031330046204225	11.020511287746965	11.949810614437908	12.058915437780934	7.686815484862896	13.220939869327774	11.23071996743555	8.047019546713592	3.1357916380664577	13.15117601120645	8.13466146096574	10.107468270445713
input//Halloween.edges	5.481397992577488	7.881589907847813	4.785581009138944	4.356773992083055	2.7571501712926247	4.325143191880986	3.816561531235164	3.8297100410211704	8.68985793452798	2.410382585203505	4.245975877437433	10.798221960615113	0	4.553600433395917	7.142759103458064	9.938638395410198	7.222109428251789	3.552293595299969	3.7975091921824573	4.343340991856922	2.706808256006935	3.4803531180345564	8.201836367659975	9.011416386522505	10.284016959374517	4.317490512651821	3.3314280204940374	3.3197775697342866	2.836532659415498	4.762501093222256	9.697604118135141	2.8779214854115667	2.528200596080506	3.345280758038854	5.342406944320917	4.747065378345379	3.946189497033883	3.827216973770152	4.069873564577201	2.69940121886957	3.28951275811011	3.3405204991582504	4.396589650693805	3.1172626207659957	3.841053294003543	4.0071247876727	9.015544209460215	3.8414910822217174	3.125511127430355	3.976865525633823
input//#1MTrajeados.edges	2.312747872296813	11.397597226702095	2.875726432891765	1.5972021252054969	5.489100303812124	3.3017378044080385	4.13399584255862	2.926845986711065	12.473795466642402	4.9031224649096	3.6747990427667414	6.820252956788791	4.553600433395917	0	3.3252946089692537	5.959518314923298	5.787555993825644	5.6631154092426135	5.481086202400932	3.4741423706573054	5.096702593717154	2.9067055756282616	11.898715221316099	12.972878712346754	6.3188344658424755	3.401895258757867	6.25664460813822	2.7968981075551915	4.722368074283955	2.7363139204027997	5.7081355376552505	5.354795768956949	4.548041560322095	5.388621609824933	1.8200048756244744	1.1730821786714811	1.9382375228438953	2.934894253734803	2.232806982626159	5.092435490526817	5.35785805677867	5.3882734739335545	2.052424878803067	6.629196131150175	4.966988541223616	2.7583349373426724	5.288713814528767	6.374828007260243	2.7749126951870933	3.8859549996107603
input//#LordMontajes.edges	3.239555409949422	14.125948445957235	2.9747907958720288	3.2273505430329803	7.381569979470227	5.790507950112694	6.073839968254269	5.318918316816076	15.202146685897539	7.4452588491194955	5.762590079242256	4.091901737533652	7.142759103458064	3.3252946089692537	0	3.3580360858962517	3.2173831321530932	8.231111869647863	8.17838079962933	4.465578127527655	7.808457686649778	5.548318702402421	14.627066440571237	15.70122993160189	3.5785287540978095	5.287182868784023	8.955754178881538	5.521983009676284	7.214868123110489	3.53371865433535	2.979784318400114	8.025645114791917	7.258962514323685	7.696856279184549	2.289094613743183	3.0873230261288462	4.488406416082207	4.924636236155408	3.9665920917505852	7.07471883487649	7.898023965018216	8.007878321830757	4.126107066461954	9.14176120468107	7.307523533271196	4.120836828652011	2.813455015705695	9.085748961261833	4.328944063087484	6.114547363415304
input//KAROL.edges	4.974609306536403	17.3571155416254	5.217445957354405	6.128693854727732	10.604705187456794	8.639132695981571	9.191537044899007	8.134194782160435	18.433313781565705	10.46948929033607	8.410434904005433	1.6330719436424124	9.938638395410198	5.959518314923298	3.3580360858962517	0	4.063674028598861	11.455501073137137	11.300003428687157	7.603043629140405	10.909149439965047	8.774060932598868	17.8582335362394	18.93239702727006	1.796184711654747	8.263917054916536	12.148191214340233	8.63026392883356	10.405311342643955	6.402254614801698	1.1677924310439995	11.102456501354187	10.482984512234419	10.928023374852705	5.428712442991086	5.61658006318832	7.3187078332672835	8.025082659521308	7.1705954043387345	10.159776645881472	11.090227049232997	11.199331872576023	6.883740263500225	12.360205227462279	10.378184664243285	7.235971382010173	2.142887211901664	12.290441369340954	7.275077895760826	9.246733628580223
input//Coco.edges	5.0877033610525215	14.769731269727641	3.7045815086568243	5.685189713786022	8.144583276796254	7.666351538806735	7.248075067874983	7.14713868942462	15.650644114894794	8.230469076201123	6.961910414034314	4.984737622780655	7.222109428251789	5.787555993825644	3.2173831321530932	4.063674028598861	0	9.344800044803767	9.220682651819404	5.609270922574586	8.778640041514631	7.069360813027627	15.075563869568489	16.149727360599144	4.403771377222495	6.688962963018645	9.522249964951921	7.407816393108277	8.075061257732411	5.208846288120591	4.103527379542011	8.830971980348373	8.109792549596314	8.292135282147589	4.954930759023348	5.4613396030530845	6.73030694499664	6.552743614325644	5.659407285086257	7.377106979210565	8.53595564393471	8.727536078577366	6.37389519160325	9.577535560791372	8.095285036026366	5.556869709621174	2.6824713252063077	9.843778949902825	5.103870757669026	7.498518677130704
input//#POSITIONS.edges	6.590257886093033	5.901614468488255	6.343618519149813	5.326807218409408	1.8732715965227298	3.857348924361806	2.8454895495804293	3.8961183123062746	6.978180063957078	1.948482371520652	4.267583540833388	12.316235715002632	3.552293595299969	5.6631154092426135	8.231111869647863	11.455501073137137	9.344800044803767	0	1.7503126805508837	4.790498387139681	1.983181601601287	3.414905563493795	6.490158497089075	7.476895954132913	11.802862731566789	4.051905821252746	1.7254981291468148	3.224763241645478	2.373309866999664	5.337186040644187	11.204118295869094	2.0213595942463227	2.1947733962269638	3.7498580799471055	6.082283965523608	6.1245550796437245	4.523527860402984	3.522170308561846	4.595444019621637	4.18259954929372	2.1560400212458917	2.177654798600435	4.979117255665029	2.720900942596897	3.0893285342332177	4.564078274204458	10.55006464184981	1.4786297874788057	4.778063947103636	3.209431575697405
input//#nosfaltajorge.edges	6.5452666025703685	6.199337379020484	6.191249551341932	5.206559872962115	2.4991728559242823	3.541258072043362	3.222109289367542	3.392278089135761	7.169559414588166	2.3280515611502697	4.376487801527248	12.161559160513328	3.7975091921824573	5.481086202400932	8.17838079962933	11.300003428687157	9.220682651819404	1.7503126805508837	0	4.9946801508434735	1.9138573230624836	3.6740810007594447	6.681537847720161	7.63239359858289	11.647365087116809	3.884487977263838	2.2153154617446225	2.886384018367024	2.2429042235977423	5.407247863926455	11.051215468541862	2.1017509669584338	2.080525586540294	4.228562441496429	6.199372632416577	5.925706973526826	4.044031356763865	3.8178531392273793	4.828507545402854	4.378368950259561	2.3425061368177023	2.001742036325131	4.614240873115965	3.350406886381399	3.152811722597786	4.737100495084136	10.39456699739983	1.775643075079324	4.719009094321706	3.1992410079098095
input//Maluma.edges	4.019324794891612	9.75407191248499	3.732243343014016	2.920001019761038	4.009229623226436	4.551655323605345	2.7966774743290967	3.9984776375373507	10.830270152425296	4.488842984481876	4.2163967008970085	8.463778271005895	4.343340991856922	3.4741423706573054	4.465578127527655	7.603043629140405	5.609270922574586	4.790498387139681	4.9946801508434735	0	4.406016552302005	2.4328142213883117	10.373820243430366	11.329353398129648	7.950405287570051	2.73501148890713	5.295857071196111	3.2949621404927414	4.268307887035602	2.4819751071202103	7.3516608518723565	5.373842047445885	3.646957657869289	3.388824185375252	2.4821153907846476	2.865938649254852	3.7140987065239197	2.7049025033264447	1.7652137738825622	3.7131618470214045	4.271720046269534	4.670808093116815	3.910873208327268	5.268336938119372	3.883210093784539	1.9029180605347402	6.69760719785307	5.72889352380403	2.5820338573610337	2.912284885477427
input//Pfizer.edges	6.209408737108025	6.5528780145070815	5.8458436767260356	4.801327448526828	1.938228490905739	3.9111365088933825	2.9281271936576987	3.2328645343912012	7.5241643416006525	1.7019940212110398	4.3690694497092455	11.769884081830538	2.706808256006935	5.096702593717154	7.808457686649778	10.909149439965047	8.778640041514631	1.983181601601287	1.9138573230624836	4.406016552302005	0	3.5420664857444346	6.949084096274351	8.023247587305008	11.256511098394693	3.7958318118818473	1.8128775622162476	2.711630956896535	2.119977289125241	4.854174970164955	10.657766662696998	2.3764977269416843	1.2479005822446574	3.1804868417509544	5.745813190017695	5.361862029444943	3.907910795515154	3.578807629865337	4.368778152950504	3.340480885127259	2.256634797136548	2.373839712278992	4.4319364174289	2.6560777455569493	2.976987586765293	4.29463172685218	10.003713008677716	2.5265859375923623	4.45735205344609	3.165922160007383
input//#SoloLasMujeresMenstruan.edges	3.9763245168389543	8.583054609026531	4.348975142879034	2.816523159532317	3.3982861211145536	2.780798451824398	2.3374959189025515	2.8411156058122584	9.673658807495235	3.3360731352155772	2.861357980563958	9.634795574464361	3.4803531180345564	2.9067055756282616	5.548318702402421	8.774060932598868	7.069360813027627	3.414905563493795	3.6740810007594447	2.4328142213883117	3.5420664857444346	0	9.185637240627228	10.158336094671187	9.121422591028516	2.497047989579204	4.033717331174131	1.839805414116832	3.099719307127738	2.746463179169089	8.522678155330821	3.7708763775134733	2.5980355744733505	2.8869030228029557	3.3675977243107735	3.354199813738413	2.73999244525883	1.947433778670754	1.8193316952947163	3.347868034687236	3.067092505292351	3.210392100854981	2.833352965537655	4.015098938510691	3.2674227702555445	2.282532072713995	7.891393732411923	4.116265736277789	2.5186433771190377	2.142055069556682
