	input//#ImolaGP.edges	input//#BuenFinSeguro.edges	input//Maluma.edges	input//KAROL.edges	input//#UnPeligroParaMexico.edges	input//#SiguesTuLopez.edges	input//#MasterChefMx.edges	input//SystemofaDown.edges	input//Halloween.edges	input//Worlds2020.edges	input//Chile.edges	input//#MatriomonioIgualitarioPuebla.edges	input//#Elecciones2020.edges	input//Rayados.edges	input//Viena.edges	input//#TarjetaRosa.edges	input//#Fakeministas.edges	input//Pfizer.edges	input//#JusticeForJohnnyDepp.edges	input//#TheMandalorian.edges	input//#POSITIONS.edges	input//#LordMontajes.edges	input//Trump.edges	input//#LaBrujaDelPalacio.edges	input//Coco.edges	input//FONDEN.edges	input//#RatitaNoEstasSolo.edges	input//#XSXFridgeSweeps.edges	input//#JusticiaParaAlexis.edges	input//#1MTrajeados.edges	input//#CovidDerrotaAPuebla.edges	input//Censura.edges	input//#OfrendaEdomex.edges	input//DiaDeMuertos.edges	input//#SoloLasMujeresMenstruan.edges	input//#HappyAuronDay.edges	input//#Confetti.edges	input//#FelizMartes.edges	input//Pumas.edges	input//Chivas.edges	input//#nosfaltajorge.edges	input//Bob_Esponja.edges	input//#FelizMiercoles.edges	input//Yakult.edges	input//Manchester_United.edges	input//#SerieMundial.edges	input//#ByeByeTrump.edges	input//Greta.edges	input//#TrumpvsBiden.edges	input//#Temblor.edges
input//#ImolaGP.edges	0	0.4726980359704255	0.29304617409440836	0.265272521414868	0.28030471425538805	0.2932903426642848	0.3007768878953112	1.0	1.0	0.3774789272709067	0.28503554507015616	0.2990039393282018	0.3534396167441386	0.30186406745435024	1.0	0.48217720093723504	1.0	0.2943181923107795	1.0	1.0	1.0	0.27719764053020934	0.3450283841150942	0.2613057092486535	0.2911342779205741	1.0	1.0	0.46705301318978787	1.0	0.28492083010137514	0.29752334729327923	1.0	0.47167277872828284	0.2687284308927328	0.27764086595907356	0.280535042438699	0.29056422347406174	1.0	0.2774963216739341	0.2894297091603105	0.38070177104925085	0.3649518113771405	0.26512993474483526	1.0	1.0	1.0	0.31103466775470745	1.0	0.3440528924475157	1.0
input//#BuenFinSeguro.edges	0.4726980359704255	0	0.45344598346943943	0.4117350594215393	0.42035198784654637	0.4529607509217073	0.4733720401301704	0.4825753505721374	0.4780866849532931	0.48942405671155	0.4498067924247656	0.428105605724974	0.43953569758131794	0.4416139771807813	0.46594118452193733	1.0	0.4946840343658361	0.4646451772852511	0.46387394385965974	0.48211114659796905	0.49107228015895177	0.44134348433387305	0.4456868843342271	0.4154260152644146	0.448018371124679	0.46489876794787477	0.47706873603211586	1.0	0.4816720005268278	0.4421924885172873	0.4505701030814159	0.4732337855728146	1.0	0.43606600946405305	0.4412534076497988	0.43694858662754177	0.4478559632857805	0.4832624667163953	0.4611021768464154	0.4503978349368004	0.43786009831168293	0.4824070266638757	0.4190691588993537	0.5135593632307892	0.4795262910656801	0.4683012181761558	0.4265318129911646	0.4827246750897676	0.4448968440817086	0.4756498907045701
input//Maluma.edges	0.29304617409440836	0.45344598346943943	0	0.1600465674917093	0.1985195023188504	0.18941003719490046	0.1973040843256818	0.38552325676968013	0.2864126141691966	0.3284099133341448	0.1975265025959243	0.21523999412780725	0.3071705435053359	0.19732794046494317	0.27417063270080866	0.461177320434639	0.24904034360071547	0.24626856774456563	0.2708482183821679	0.2849464100966388	0.30704652807744537	0.19298296076282606	0.29890509765508433	0.17670363749264872	0.17214120664173238	0.18662999754875287	0.219650125977207	0.4494647708304158	0.2124745638907416	0.18829891928240072	0.2089244271340731	0.2639627814487018	0.4329331697570299	0.18510104675303762	0.1982720905293538	0.19329592730901846	0.20899836154105933	0.32617436896671814	0.2001580966099693	0.16250325953167188	0.33449941352108836	0.29935343626820343	0.17838535875818806	0.2812309405701451	0.2835731717641886	0.25568919150522207	0.25581692659992816	0.4453566788069171	0.2861172149675347	0.317776016772673
input//KAROL.edges	0.265272521414868	0.4117350594215393	0.1600465674917093	0	0.15655957125405018	0.1474165381266347	0.17125473090842946	0.3589908953468508	0.2832483418808265	0.3148719994037691	0.16561713863361704	0.1771217524970461	0.28336487087226836	0.16589494511516267	0.26158345171373987	0.44235241034229145	0.21782734718029662	0.22733230347359268	0.2497816323267753	0.27333328647423005	0.29552665958166335	0.1574532462867273	0.2681972337370806	0.13798958806584483	0.15446014999811242	0.16882287364942006	0.19289416869397646	0.42202280556030036	0.16827553582167143	0.15432966970466822	0.1867941594658391	0.22993703173271718	0.4152039848404109	0.16022902255378457	0.1575368325255614	0.15312672907220481	0.17493483857361847	0.311321773795492	0.16570444105350957	0.13625022884244076	0.31763724703555496	0.2628260223087645	0.1448965342882894	0.27510221904908294	0.28232822116382594	0.2242566181465403	0.22225329460278387	0.41980971557733326	0.25760218474012253	0.3002178190994166
input//#UnPeligroParaMexico.edges	0.28030471425538805	0.42035198784654637	0.1985195023188504	0.15655957125405018	0	0.16894011062376224	0.19942020563697527	0.3858426039424576	0.32547753145353	0.3201569775614692	0.21789240084744854	0.17936012287776992	0.30649815613648435	0.1968581884628955	0.28528670678074675	0.417422285692448	0.23316610336226506	0.26646926847860175	0.27011905057279684	0.30857810355348025	0.3274108592219078	0.1760354471619674	0.3116528259739728	0.15091428645836624	0.2154440852810896	0.20981244502095286	0.2185754666164732	0.4124875495478668	0.19343871046246985	0.1767574594302086	0.18915577343684842	0.2746023695267068	0.3912549368044246	0.19147597813995376	0.19482308831573592	0.16970288390841204	0.1943683664548106	0.3179955074288704	0.21639128247314132	0.18260776395654277	0.3327764704116769	0.2890624105558385	0.18088692214490487	0.32200551876734684	0.30689688676891347	0.2482173621728212	0.246050867156144	0.4429759196597225	0.2949630448652667	0.3215272799771175
input//#SiguesTuLopez.edges	0.2932903426642848	0.4529607509217073	0.18941003719490046	0.1474165381266347	0.16894011062376224	0	0.15132368323046963	0.38802246583016364	0.3060626868024041	0.3205775350259622	0.18014302768381052	0.20517408126611714	0.3118248361541648	0.16806822056710158	0.2842267939198745	0.4549674196232426	0.20295518973177396	0.25216772159920464	0.2486434376919423	0.3305299306264944	0.3267940394621168	0.15389625588370048	0.31454908986960217	0.15116890430836638	0.17096397189569057	0.14877031004887675	0.23196685621907365	0.4479721708146678	0.1500171422085086	0.1488568665699369	0.18230412590596667	0.24427251159121355	0.4270646200420162	0.17246873305738974	0.1694389811610627	0.14904212330279687	0.18317198618619346	0.32032635781201846	0.16028296064068037	0.12082192676737402	0.3498121724093137	0.27327279856657216	0.17250784326484836	0.2850211085783204	0.29423796708520367	0.21900629555898443	0.2480738408680937	0.4629076285253718	0.2966923763462652	0.32018624765399806
input//#MasterChefMx.edges	0.3007768878953112	0.4733720401301704	0.1973040843256818	0.17125473090842946	0.19942020563697527	0.15132368323046963	0	0.40440130049185474	0.3162238351321601	0.3390051751693355	0.1753748020459459	0.22680119734699966	0.32174636471865214	0.18799049793913547	0.26721644016451496	0.47462900255536233	0.23295282813711815	0.23883892978047183	0.23977093814360728	0.36955890619991716	0.3132520728442342	0.18196808473590642	0.3030606480046816	0.17297945749968702	0.17547181811688883	0.1634631388311203	0.23910539455009816	0.4693281103637481	0.15647697909797886	0.16321862154531874	0.20636911380601564	1.0	0.4474263059794813	0.19142403806368236	0.16649950129734836	0.1536176936117839	0.17792425949533097	0.32686227484940045	0.15919773972516116	0.14055578410864855	0.34226945994384295	0.28951872800639455	0.19593881614177255	0.25715696421734047	0.2861405401256888	0.22330403830471235	0.25203403523528944	0.4797310302040716	0.30713550973018544	0.3230175257786986
input//SystemofaDown.edges	1.0	0.4825753505721374	0.38552325676968013	0.3589908953468508	0.3858426039424576	0.38802246583016364	0.40440130049185474	0	0.49254728254448776	0.3986855884792617	0.3739835415325754	0.3710659454659542	0.3747400045045285	0.39174236048884037	0.40124609256720456	0.4795883708892619	0.43085573839158176	0.38259634453736335	1.0	0.4139544094710105	1.0	0.3700974523488064	1.0	0.3526741871570219	0.3760270042763567	0.39395209899647143	0.4128253238335692	0.4783094214581767	0.4130061039103111	0.3911018865449265	0.4207111060167319	0.3822929866522665	0.46829485952369176	0.3736987774544792	0.3745216549632391	0.39072994661646976	0.38033694922528005	1.0	0.37469733580037445	0.3792302296287179	1.0	1.0	0.35151790942420635	1.0	0.40964920010143757	0.41228931072170305	0.3997679096840424	1.0	0.43807974759649515	1.0
input//Halloween.edges	1.0	0.4780866849532931	0.2864126141691966	0.2832483418808265	0.32547753145353	0.3060626868024041	0.3162238351321601	0.49254728254448776	0	0.44759501914489186	0.27523907994053354	0.3375642610676669	1.0	0.29985218924341495	1.0	0.49881862869504434	0.37413618393213754	0.31630054256499307	0.3583766632239933	1.0	0.44248714144818624	0.3067614992106704	0.3474005408924312	0.30254447619142644	0.263153958885312	0.26960668041527625	0.34644810914942936	0.4760330309253007	0.3248847135484372	0.30952668661344374	0.34652001283229117	1.0	0.4764832430188253	0.28571952489188635	0.29712516462207883	0.3169578214016914	0.3342980050250991	0.4236064966461385	0.317644621256406	0.2862812036810559	1.0	0.3656825530316986	0.28108492225483195	1.0	0.3353804200063206	0.3696782978958558	0.3286154976248581	1.0	0.31949834580553327	0.39060482719618084
input//Worlds2020.edges	0.3774789272709067	0.48942405671155	0.3284099133341448	0.3148719994037691	0.3201569775614692	0.3205775350259622	0.3390051751693355	0.3986855884792617	0.44759501914489186	0	0.27330800426724267	0.32867331787737897	0.31188258123809487	0.3316354164044192	0.3000412327726004	0.48662442996862076	0.4017014799854589	1.0	1.0	1.0	1.0	0.32645502407396243	0.36185216958970456	0.29343615105191645	0.29658350034228687	0.3255918405535657	0.3380488586160668	0.4521283665556176	0.3528819365461605	0.3366864580295488	0.35368718267961474	0.32169756868635013	0.44473365096876794	0.2872608885407789	0.3293467463445304	0.3226973228503437	0.3397253712212872	0.3710750802256091	0.2784730685548028	0.30126940621800946	0.3430507775122149	0.3496593406293236	0.26490165069577387	0.3630046161259397	1.0	0.35534513469105244	0.31574905293122235	1.0	0.39301085362080324	0.34174731342297926
