	input//#AntorchaAyudaATabasco.edges	input//#BuenFinSeguro.edges	input//#MasterChefMx.edges	input//KAROL.edges	input//#WonderAtMidnight.edges	input//#AvisoCovidEdomex.edges	input//#UnPeligroParaMexico.edges	input//#MatriomonioIgualitarioPuebla.edges	input//#TarjetaRosa.edges	input//#Fakeministas.edges	input//#SalarioRosa2.edges	input//#SiguesTuLopez.edges	input//#Fortnite.edges	input//Rayados.edges	input//#ImolaGP.edges	input//#JusticeForJohnnyDepp.edges	input//#POSITIONS.edges	input//#ARMY.edges	input//#DiaInternacionalDelHombre.edges	input//#LaBrujaDelPalacio.edges	input//#Elecciones2020.edges	input//Maluma.edges	input//#RatitaNoEstasSolo.edges	input//#LordMontajes.edges	input//Brozo.edges	input//#1MTrajeados.edges	input//#TheMandalorian.edges	input//SystemofaDown.edges	input//Viena.edges	input//#CovidDerrotaAPuebla.edges	input//#XSXFridgeSweeps.edges	input//Best_Buy.edges	input//#HalaMadrid.edges	input//Cruz_Azul.edges	input//#FelizLunes.edges	input//Chile.edges	input//FONDEN.edges	input//#Xavi.edges	input//#OfrendaEdomex.edges	input//#AMLOLujoDePresidente.edges	input//Best_Buy_Liquidacion.edges	input//Pfizer.edges	input//Bloomberg.edges	input//Coco.edges	input//SpotifyWrapped.edges	input//#SoloLasMujeresMenstruan.edges	input//HereWeGo.edges	input//Halloween.edges	input//#HappyAuronDay.edges	input//Censura.edges	input//Trump.edges	input//#FelizMartes.edges	input//Checo.edges	input//Pumas.edges	input//Chivas.edges	input//#NiallHoran.edges	input//DiaDeMuertos.edges	input//#Confetti.edges	input//#nosfaltajorge.edges	input//Bob_Esponja.edges	input//Ravens.edges	input//Europa_League.edges	input//Dinamarca.edges	input//Worlds2020.edges	input//Yakult.edges	input//Manchester_United.edges	input//#SerieMundial.edges	input//#JusticiaParaAlexis.edges	input//#Temblor.edges	input//#GoPackGo.edges	input//Greta.edges	input//#TrumpvsBiden.edges	input//#CuidemosTodosDeTodos.edges	input//#FelizMiercoles.edges	input//#ByeByeTrump.edges
input//#AntorchaAyudaATabasco.edges	0	38.717620447753085	10.7942157063829	24.197997415611596	17.31109953424663	36.65968043383134	26.94191044912287	25.6382577366454	42.43312751874161	12.600218700520353	38.14035394152821	10.20532454890977	20.108252140150253	12.653459961838896	16.219428867205433	15.051061289961883	21.60912115370243	30.653911116303398	19.921584755278246	18.48331993418899	23.467249563597647	18.860084387516462	10.190384529037532	16.55209405708228	18.73748655831849	14.02410260733356	19.49415508445057	22.48732180980023	22.971686766033088	15.133114794479006	41.81331012682737	22.244306644697254	17.980498943038274	24.731533080306775	16.153183597473284	17.30357700709165	11.66652928077201	18.309674282954695	41.04566087452307	15.964343510108762	26.319898551896042	22.081811024236902	22.22132506117348	22.924912443586926	26.95423183074041	16.853325709882405	19.01807891249162	24.50268295674454	16.299687460318637	19.907351463981357	25.404983474054646	20.813931865004417	20.97622008729107	15.143148249682438	11.338341139149135	12.76219155451971	18.950991948397817	13.669157280324443	24.309630235178002	20.068101042178252	17.53283753833177	23.065975169226355	13.24592118989985	18.365048400628396	24.691606483271087	20.708295336166636	15.674691224291797	11.620217357113356	23.177718670761337	20.009411251542886	26.562908733057384	23.426640639715412	36.749471042440966	14.707447487454157	19.950694871963908
input//#BuenFinSeguro.edges	38.717620447753085	0	35.74083083299463	31.713346383815118	33.05097519521447	14.99950235069729	35.138600052448204	34.329017330233356	19.187215024742653	38.876159667337845	28.68290165912547	36.30608435015815	29.891881541257337	36.79713994123207	35.95297060036173	35.09818832674243	34.328229896702446	23.13271921005967	26.76249108900602	32.6524440892977	35.87750669667099	28.283448198417243	38.692392045946654	29.837241803564915	36.79981119357818	37.434412041794154	36.27091396791025	33.71223487337711	35.219024901397546	32.74345054172939	19.538335130265484	34.34432449527949	36.79030299657114	33.31975862183666	29.22603002387819	36.76345299609191	37.705146665036885	27.990702520976985	14.197063708612019	30.08776835507537	33.570801428696825	37.50333308587899	33.77196050482143	33.485773225728686	31.11433000943335	29.29418178439543	37.71470647823974	34.50243210481065	31.344028050968237	37.36527792940327	34.352785363555306	35.49188353313831	36.21028719295171	36.219995043915276	37.464133835466164	33.283723121604794	33.981592383392965	31.49293021338246	32.823725044957854	32.020630431947936	37.94536541025597	33.157200837579275	32.477904034099204	36.721227970143886	33.43681688259242	33.600202965111144	36.43307626165143	36.51088458553473	32.44586028718885	37.967336270851796	31.925756224884157	31.25106972961019	16.922506807863456	32.19615523158995	28.60346612556655
input//#MasterChefMx.edges	10.7942157063829	35.74083083299463	0	25.51302049019045	18.815847634513396	33.735104436779395	28.043713977414235	26.63308422805939	40.72299124538133	10.974906353185268	35.546822972104465	7.523813465977755	14.127646973865334	9.888472665500768	10.714669323031563	9.317761805417645	15.941632025586667	26.260142091346317	14.603446289286993	17.795219072430275	17.876273377649166	15.852900195592069	10.460634394194276	14.582226509952477	13.361481338534906	16.00199767445087	13.604226104718432	17.298051061715856	17.154378271520482	18.030142289857412	39.6175569687985	16.160712280511085	13.790423983848298	18.96343797746613	13.738720346323552	11.71616141962135	8.922628840913916	13.397278229403428	38.71617462742106	15.741959625701657	20.694316535988214	17.120100038126484	16.323291710938708	17.06664841508081	22.296160117100406	13.107204460258874	13.818181536434945	19.389184417910325	15.347273805538732	14.304417100568088	19.754749422709974	16.177529578090976	15.950452888372427	8.809191013563106	8.491888827641818	11.316542503792885	12.821864286988054	12.181270594902056	19.011588989152784	14.780761757271643	12.882312896570456	17.173614763908322	8.322302047923065	12.812979160476052	18.66957842167506	14.583533914682201	10.820181078285135	6.471912234156967	17.36388235978318	14.953815998173582	21.32051214580386	17.841490929644948	33.56569831269893	10.609517216779652	14.819780053391444
input//KAROL.edges	24.197997415611596	31.713346383815118	25.51302049019045	0	12.29941172180669	31.462790303393284	14.34359597143014	14.447322224712474	31.22902741586847	29.697638594287696	33.49755967118492	25.506851663686927	26.03714542060749	25.703656101903118	29.492209324328957	29.143449855683645	33.44833462227688	33.584213772494834	22.14759536559379	17.303302549380753	35.28005095844938	19.770620187262576	28.213663248815312	19.624836161073297	32.74877012425294	24.015829193090678	31.255654750463055	32.09012753719272	34.83670250613843	16.887883808670683	30.61372468927254	33.423381819624495	31.194561631679836	34.49820565918469	18.12787192200648	31.155220160524387	28.802171965561143	22.33215680040605	31.634955738781066	14.979794591614766	35.36217674382377	35.31401208585087	32.78895388223464	30.364464361335436	34.63192671144298	20.584403523769122	32.97723139570343	34.591546270243754	17.05906098441237	34.298255233651965	35.7959044624795	32.36324712947993	33.75757659287085	29.083582575954967	26.150707893976502	22.31650098538127	29.722581809237965	19.962286271964047	34.11440976431582	30.234822728875983	31.720747468632897	33.55408126381023	23.99499026547657	31.549396908267063	34.78474768484763	31.416056307372738	29.88204602735004	27.09024610669948	32.454863664558204	32.48490996278142	33.82079897857161	30.138612311523143	32.181155192205445	23.21901828845982	24.7290846810551
input//#WonderAtMidnight.edges	17.31109953424663	33.05097519521447	18.815847634513396	12.29941172180669	0	32.20330385611042	15.4627517188222	15.096472258456304	34.43471290277666	22.820536652049086	34.0244355172856	18.57758678843519	21.15735777623373	19.264487690882586	23.996265905112462	23.572698355918742	28.508166071866423	31.197775445454525	18.433985086473637	13.382735040920553	30.364885805379032	16.403126478722378	21.35464787734402	14.535192662865757	26.150710103529693	19.036051967177954	26.835295509898714	28.175535499617627	29.647148342143407	11.907437115284838	33.76211348166179	28.30835287200861	25.24094970497433	30.463563400155707	13.410073178498488	25.102633826862974	22.29248930652095	18.887742543811214	33.87088343724851	10.266306222721166	31.672049819878616	30.2629676901993	28.49781438929253	25.998369045205774	30.719147609332058	16.68266692096431	27.05484848771215	30.448072765864794	12.874157431882292	28.521001261608454	31.590314889199608	27.396641608153203	28.773978454645807	23.11630622810374	19.163071741964778	16.136805931060575	24.32665325000315	14.38437461659906	29.5975706393007	25.48742713615252	25.934738970181165	29.174947779961343	18.058478281546876	25.796953911357207	30.313337713062165	27.081804804248577	24.438516533988125	20.94817594756031	28.326697858011528	27.054865263882	30.33226161581917	26.716515608532994	32.634386870664876	17.184967185590942	20.26662015183345
input//#AvisoCovidEdomex.edges	36.65968043383134	14.99950235069729	33.735104436779395	31.462790303393284	32.20330385611042	0	35.17764443443037	34.30164282921561	20.64712179659862	36.538159827085224	28.80991107488761	34.24285149613752	28.65285189513369	34.81378758944987	33.55912333592958	32.54700953620913	31.60480696854353	20.18844762262804	25.2082175428421	31.581774381440372	33.10792451993856	26.50057456696278	36.41519167368974	28.44592798584047	34.08785266996916	35.97333812307506	33.70047344919005	30.890160565097755	32.217093983124286	31.252983973423742	22.48827832150497	31.399357113674373	34.59187600626993	30.169360715533287	27.675795307650542	34.424563166382015	35.322335161747574	25.709476347515242	18.797552673890866	28.830577124875465	30.657627002728667	34.72564335262859	30.869657512754095	31.320114227812432	27.22010100812469	27.891743604333094	35.25411104304429	32.1009268575277	30.058463966672722	34.46629856429646	31.255031870037005	33.131184094123974	33.30514865339029	33.912619905160895	35.37649062540719	31.051492890728458	31.58517117870486	29.841176186400258	29.66263455656791	29.33214135027801	35.55695737757645	30.246458355967665	30.540243176242637	34.46614517596966	30.178581939512036	31.123313027726464	34.27141830294431	34.147895949594655	29.944571729402902	35.80075048136623	28.959010084803815	28.713539564281298	20.653762735060074	30.35263420021723	27.29463128920203
input//#UnPeligroParaMexico.edges	26.94191044912287	35.138600052448204	28.043713977414235	14.34359597143014	15.4627517188222	35.17764443443037	0	5.06061717993089	34.028743631668924	30.983383091557304	34.2557863031136	26.953643407963714	28.5585817967394	26.940985146715875	30.363502188145393	32.05933964040132	37.21675652750806	36.120639933371386	24.93645431236135	12.47751718522155	39.01361881147543	21.588915303060517	29.529719582829372	17.787523860848193	35.63067653618959	22.491267769078245	35.2434666175491	35.6405523770075	38.40868184873	17.947908290015064	33.094137501671696	37.14541692916728	32.51478430963685	38.04705521146817	20.14146964290208	35.214309961282126	32.0138958383137	26.07992193600152	34.497066364099084	14.166248451824472	39.99717877405156	39.42658107391414	35.785287482163845	35.40225490590973	37.83223490043609	21.952943131926844	36.33538817574167	38.97135355589948	16.28136770846684	37.758699860522704	39.417252108899866	33.2867883266345	37.16196845720721	32.34651239588219	29.287507108071004	25.769553139538804	32.72704136835818	20.883547519487447	36.80669209031964	33.68605276193473	35.92600042659679	37.62295830661324	26.271517778564775	33.41295967194015	38.51444915458138	34.36177641476252	31.511931803084774	29.4998294856797	35.29736564202423	34.30348453385923	37.82878000785931	34.10074089788761	34.843645067568	25.773311945542687	27.509881515361528
input//#MatriomonioIgualitarioPuebla.edges	25.6382577366454	34.329017330233356	26.63308422805939	14.447322224712474	15.096472258456304	34.30164282921561	5.06061717993089	0	33.433628526902254	29.36819779681446	32.7776927488671	25.687084163561053	27.057768572439727	25.165445346232254	28.754833202553574	30.529077529466612	35.68393709012951	34.56276048867834	23.67861367777457	11.918067548389654	37.417011304425344	19.457611277154378	27.981210398411434	16.236902962171282	33.91918997294926	20.506094562293075	33.7640477348523	33.95298335696108	36.78871848554902	16.42290508499655	32.34639000032341	35.571659786204535	30.72498530918044	36.4869939887801	18.923005315939804	33.69381411672452	30.32179484703163	24.667739183217908	33.792030047944095	12.940154311726241	38.60803250450781	37.8233884961838	34.21088229493711	34.09157570512657	36.24612055577205	20.28175208417183	34.76643306586875	37.50120275465673	14.720529095364755	36.09744337755034	37.839466803498034	31.282527181196713	35.42027229722781	30.89677758987531	27.775285563544806	24.253053201123414	31.07937035997061	18.933636479130794	35.12478658336018	32.069326673617866	34.38386888390592	35.99017258054592	24.755444830748072	31.718310006439108	36.92791566878737	32.64324169860771	29.799525729516397	27.984252028127482	33.749708617786546	32.86330492532409	36.44031001935791	32.71769176134135	33.72499356948022	24.45830851619417	26.086565762258786
input//#TarjetaRosa.edges	42.43312751874161	19.187215024742653	40.72299124538133	31.22902741586847	34.43471290277666	20.64712179659862	34.028743631668924	33.433628526902254	0	43.85348836355699	27.759370869913422	40.90112775377568	35.614804050701274	41.011423852623096	41.30602515915462	41.01367467398428	41.303221307000136	31.447388723957314	31.964063008919965	34.50291965778615	43.0497579637613	31.132288340247836	43.33199516285137	33.223683825758904	43.09984687146114	39.85183341171347	42.2813464122787	40.20753868149721	42.344005391709764	34.409588061977445	18.237535856164136	41.40202810434163	42.29989635085051	40.45647023961913	32.937184893335676	43.17793442724198	42.87802969454112	32.88627533746662	15.886823451107826	32.28067855916852	41.07924448921594	44.45897268249127	40.59407717782	39.865707768758	37.80395613122147	32.8263358140489	43.93212949455757	41.56509040120429	33.617227356033744	44.06615421040856	41.926289404345916	40.80331276970344	42.85218352014507	42.02366590299269	42.27416145643052	37.38595293862665	39.910053051339446	34.769989928128425	40.13450964812836	38.332355422374064	44.00852889192701	40.175379719905166	37.38612678180164	42.60034264756359	40.68730040213255	39.82374994128337	41.87188252102225	41.63647648728198	39.336027271422736	43.49077223229813	38.539465134816744	37.53633844097643	25.220446415240687	37.08676059298704	33.81247111663144
input//#Fakeministas.edges	12.600218700520353	38.876159667337845	10.974906353185268	29.697638594287696	22.820536652049086	36.538159827085224	30.983383091557304	29.36819779681446	43.85348836355699	0	37.498763535036055	9.274618367430126	18.298044526910072	11.85020060430053	11.666377104080924	11.428283249620792	17.11506372673911	27.345261336624954	19.253804378263144	20.932260445982553	18.843706446050916	19.30069089136476	7.43655863783636	16.818092658074534	14.127879158053105	15.795036887988315	17.047849325239405	18.874452500689223	18.525956620034865	20.26299342817705	42.647024615638124	18.30691564454544	13.084558535577973	20.8779081496562	18.17613561538045	14.58404051480028	9.32859077320305	17.846490215138296	41.60875248663508	18.940416827050115	23.044078484551193	18.26909518885483	18.531698527235633	21.351499875522407	23.028181612033887	16.837270659512825	15.184523805800355	21.62711246561173	18.279927498405094	15.429709700768795	21.31805474679445	16.46949934327185	16.644373899813953	12.402776109727169	11.672646734822347	13.957193302205352	16.4802789797888	14.951490252936475	20.01340090341363	16.675050971383836	14.834067519142476	19.229055365647937	11.811764417215107	13.257476849770002	20.374660304599136	17.147772817415476	12.038319873242209	9.447310416501868	20.042360620970154	15.849377506067098	24.01059733425859	21.230338237610507	35.97042469572689	14.90661819946698	18.78499769896106
