	input//Best_Buy.edges	input//#ImolaGP.edges	input//#BuenFinSeguro.edges	input//Maluma.edges	input//KAROL.edges	input//#WonderAtMidnight.edges	input//#UnPeligroParaMexico.edges	input//#SiguesTuLopez.edges	input//#MasterChefMx.edges	input//SystemofaDown.edges	input//Halloween.edges	input//Worlds2020.edges	input//Brozo.edges	input//Cruz_Azul.edges	input//#AvisoCovidEdomex.edges	input//Chile.edges	input//#MatriomonioIgualitarioPuebla.edges	input//#Elecciones2020.edges	input//#DiaInternacionalDelHombre.edges	input//Rayados.edges	input//Viena.edges	input//#AntorchaAyudaATabasco.edges	input//#TarjetaRosa.edges	input//#Fakeministas.edges	input//#FelizLunes.edges	input//Pfizer.edges	input//#Fortnite.edges	input//#SalarioRosa2.edges	input//#JusticeForJohnnyDepp.edges	input//#ARMY.edges	input//#TheMandalorian.edges	input//#POSITIONS.edges	input//#LordMontajes.edges	input//Bloomberg.edges	input//Trump.edges	input//#LaBrujaDelPalacio.edges	input//Coco.edges	input//FONDEN.edges	input//#RatitaNoEstasSolo.edges	input//Best_Buy_Liquidacion.edges	input//#XSXFridgeSweeps.edges	input//#JusticiaParaAlexis.edges	input//#1MTrajeados.edges	input//#CovidDerrotaAPuebla.edges	input//Censura.edges	input//#OfrendaEdomex.edges	input//SpotifyWrapped.edges	input//Checo.edges	input//Ravens.edges	input//#AMLOLujoDePresidente.edges	input//DiaDeMuertos.edges	input//#SoloLasMujeresMenstruan.edges	input//HereWeGo.edges	input//#HappyAuronDay.edges	input//#Confetti.edges	input//#FelizMartes.edges	input//Pumas.edges	input//Chivas.edges	input//#NiallHoran.edges	input//#nosfaltajorge.edges	input//Europa_League.edges	input//Bob_Esponja.edges	input//Dinamarca.edges	input//#FelizMiercoles.edges	input//#HalaMadrid.edges	input//Yakult.edges	input//Manchester_United.edges	input//#SerieMundial.edges	input//#Xavi.edges	input//#ByeByeTrump.edges	input//#CuidemosTodosDeTodos.edges	input//Greta.edges	input//#TrumpvsBiden.edges	input//#Temblor.edges	input//#GoPackGo.edges
input//Best_Buy.edges	0	0.31882318734780146	0.49335689076073075	0.2815879114292771	0.2721966466186482	0.27973736925752	0.3143019739443107	0.3060885075231534	0.2839361635143861	0.3971442686459703	0.39215605178060264	1.0	1.0	1.0	0.41972433285900257	0.24892345986018816	0.30644078288430454	0.3041793118988506	0.28323390159685113	0.3024193663561783	1.0	1.0	0.48045824550070304	1.0	0.2675943928823752	1.0	0.30545529882255806	0.5597471817952998	1.0	0.4303084674019999	1.0	1.0	0.30366270278039653	1.0	1.0	0.2831173052861786	0.24624565404290621	0.31306808143507237	1.0	1.0	0.4693292083970749	1.0	0.31521127525532033	0.3311114665743694	0.287990173855018	0.46395552346357527	0.42770308808877655	1.0	0.3127302109022332	0.2716634500582832	0.2742299033878035	0.2814760101118884	1.0	0.2929749678723319	0.3116562996865262	0.35173685608964556	0.2721526952211465	0.2777309749002278	0.3277277339562906	1.0	1.0	1.0	0.2609399018591466	0.26879353094387637	0.35615969744185705	0.32061244090299723	1.0	1.0	0.24715709663618723	0.29710506449262075	0.4129605409538657	1.0	0.3873964730251477	1.0	1.0
input//#ImolaGP.edges	0.31882318734780146	0	0.4726980359704255	0.29304617409440836	0.265272521414868	0.2792216833390714	0.28030471425538805	0.2932903426642848	0.3007768878953112	1.0	1.0	0.3774789272709067	0.35186870559052885	0.32729706185409724	0.4314898449379636	0.28503554507015616	0.2990039393282018	0.3534396167441386	0.33041078344725405	0.30186406745435024	1.0	1.0	0.48217720093723504	1.0	0.2801455615846822	0.2943181923107795	0.3444294845538102	0.5461076580744154	1.0	0.4487661637573226	1.0	1.0	0.27719764053020934	1.0	0.3450283841150942	0.2613057092486535	0.2911342779205741	1.0	1.0	1.0	0.46705301318978787	1.0	0.28492083010137514	0.29752334729327923	1.0	0.47167277872828284	1.0	1.0	1.0	0.2577430599320728	0.2687284308927328	0.27764086595907356	1.0	0.280535042438699	0.29056422347406174	1.0	0.2774963216739341	0.2894297091603105	0.30542726968727707	0.38070177104925085	1.0	0.3649518113771405	0.2810308877959823	0.26512993474483526	0.38472981831982156	1.0	1.0	1.0	0.27837489927174275	0.31103466775470745	0.41330578558411235	1.0	0.3440528924475157	1.0	1.0
input//#BuenFinSeguro.edges	0.49335689076073075	0.4726980359704255	0	0.45344598346943943	0.4117350594215393	0.4284634946614143	0.42035198784654637	0.4529607509217073	0.4733720401301704	0.4825753505721374	0.4780866849532931	0.48942405671155	0.4663968373620013	0.45108991792521447	1.0	0.4498067924247656	0.428105605724974	0.43953569758131794	0.450478361949349	0.4416139771807813	0.46594118452193733	0.48595216103676697	1.0	0.4946840343658361	0.4123586186967907	0.4646451772852511	0.4619048119306103	1.0	0.46387394385965974	1.0	0.48211114659796905	0.49107228015895177	0.44134348433387305	0.45899236070822114	0.4456868843342271	0.4154260152644146	0.448018371124679	0.46489876794787477	0.47706873603211586	1.0	1.0	0.4816720005268278	0.4421924885172873	0.4505701030814159	0.4732337855728146	1.0	0.4408738089621368	0.44037665084497557	0.47147756153263776	0.4102890488810521	0.43606600946405305	0.4412534076497988	0.42696424684499457	0.43694858662754177	0.4478559632857805	0.4832624667163953	0.4611021768464154	0.4503978349368004	0.47038687085608544	0.43786009831168293	0.4877066097400593	0.4824070266638757	0.4531579242765976	0.4190691588993537	0.45528043930941464	0.5135593632307892	0.4795262910656801	0.4683012181761558	0.43185685356180115	0.4265318129911646	1.0	0.4827246750897676	0.4448968440817086	0.4756498907045701	0.511073778452829
input//Maluma.edges	0.2815879114292771	0.29304617409440836	0.45344598346943943	0	0.1600465674917093	0.17408812654429018	0.1985195023188504	0.18941003719490046	0.1973040843256818	0.38552325676968013	0.2864126141691966	0.3284099133341448	0.2652818198500956	0.2868490869437005	0.4192252689236253	0.1975265025959243	0.21523999412780725	0.3071705435053359	0.22779276669552706	0.19732794046494317	0.27417063270080866	0.21222091726974157	0.461177320434639	0.24904034360071547	0.18939994082559153	0.24626856774456563	0.24355520628452965	0.5120624458291423	0.2708482183821679	0.43101771405925116	0.2849464100966388	0.30704652807744537	0.19298296076282606	0.32219478667685464	0.29890509765508433	0.17670363749264872	0.17214120664173238	0.18662999754875287	0.219650125977207	0.3533983185878107	0.4494647708304158	0.2124745638907416	0.18829891928240072	0.2089244271340731	0.2639627814487018	0.4329331697570299	0.37818140349806184	0.27552526034959945	0.18964209986547975	0.16723595687969017	0.18510104675303762	0.1982720905293538	0.2685199564393357	0.19329592730901846	0.20899836154105933	0.32617436896671814	0.2001580966099693	0.16250325953167188	0.20111203407642897	0.33449941352108836	0.27565598099049404	0.29935343626820343	0.17673001465005644	0.17838535875818806	0.3272309184594655	0.2812309405701451	0.2835731717641886	0.25568919150522207	0.14684768868864617	0.25581692659992816	0.3870289290263508	0.4453566788069171	0.2861172149675347	0.317776016772673	0.37050014141643406
input//KAROL.edges	0.2721966466186482	0.265272521414868	0.4117350594215393	0.1600465674917093	0	0.13589231923495082	0.15655957125405018	0.1474165381266347	0.17125473090842946	0.3589908953468508	0.2832483418808265	0.3148719994037691	0.2690403135233993	0.2758014715930105	0.3789817304282572	0.16561713863361704	0.1771217524970461	0.28336487087226836	0.2046767050379329	0.16589494511516267	0.26158345171373987	0.18216248655094702	0.44235241034229145	0.21782734718029662	0.15290695591950187	0.22733230347359268	0.21763231425411356	0.5033552132327843	0.2497816323267753	0.39789963804226414	0.27333328647423005	0.29552665958166335	0.1574532462867273	0.29201878884525034	0.2681972337370806	0.13798958806584483	0.15446014999811242	0.16882287364942006	0.19289416869397646	0.3387975085283449	0.42202280556030036	0.16827553582167143	0.15432966970466822	0.1867941594658391	0.22993703173271718	0.4152039848404109	0.33997668853301166	0.2650753049790576	0.17926002838979938	0.1266379033859818	0.16022902255378457	0.1575368325255614	0.25938561870124555	0.15312672907220481	0.17493483857361847	0.311321773795492	0.16570444105350957	0.13625022884244076	0.20236432031490503	0.31763724703555496	0.25284607565332895	0.2628260223087645	0.14760132566138806	0.1448965342882894	0.3068686671746492	0.27510221904908294	0.28232822116382594	0.2242566181465403	0.1340477782012589	0.22225329460278387	0.36300468050701684	0.41980971557733326	0.25760218474012253	0.3002178190994166	0.3533517680929973
input//#WonderAtMidnight.edges	0.27973736925752	0.2792216833390714	0.4284634946614143	0.17408812654429018	0.13589231923495082	0	0.16506810755430557	0.14117967442419144	0.18336612734649327	0.3739930000501639	0.29654355707037083	0.29218190570576796	0.24702861648747665	0.30075821627156896	0.40757882317034444	0.17868667184878972	0.17776185492183605	0.29833184354756226	0.20601925073933147	0.17372077595000335	0.26728677176312754	0.18131392789041656	0.4459371241795146	0.22772219422461426	0.15594117548332964	0.2506016882184371	0.201405744085564	0.48939227866554535	0.24692964963771424	0.40066253483886083	0.2980887662064079	0.30407297605235883	0.16653145487789733	0.29164804249419607	0.2987307467814958	0.14372534871063625	0.15792267350270384	0.15772527210238363	0.18819870887194157	0.33729124869813243	0.4310127208664767	0.17603513059638165	0.15863625757209843	0.18464928613715426	0.24612340865484295	0.4164287842282458	0.3655488473952774	0.28495488989121787	0.1943935617363488	0.13541345040830532	0.16336969948667346	0.18396115504446875	0.24703996108800952	0.15445421647366553	0.17673975338225967	0.31805171185879655	0.1757378374187063	0.1360454081301249	0.20003954543153613	0.3154188620076983	0.260110130703024	0.27514416546131026	0.15525061837700427	0.1466304858172114	0.30081189580901735	0.2875742904803321	0.2972151016445864	0.2325164423913092	0.16169291185000223	0.23269224631726504	0.38072057893484335	0.4410520747554296	0.285008394775248	0.3050637072932919	0.35155872005472577
input//#UnPeligroParaMexico.edges	0.3143019739443107	0.28030471425538805	0.42035198784654637	0.1985195023188504	0.15655957125405018	0.16506810755430557	0	0.16894011062376224	0.19942020563697527	0.3858426039424576	0.32547753145353	0.3201569775614692	0.2794485435165893	0.31738796856057083	0.3857758660456342	0.21789240084744854	0.17936012287776992	0.30649815613648435	0.2484977417835328	0.1968581884628955	0.28528670678074675	0.2066516857998576	0.417422285692448	0.23316610336226506	0.1830056239600103	0.26646926847860175	0.251219779632908	0.4751893675855111	0.27011905057279684	0.40763334875994006	0.30857810355348025	0.3274108592219078	0.1760354471619674	0.3162065619099297	0.3116528259739728	0.15091428645836624	0.2154440852810896	0.20981244502095286	0.2185754666164732	0.3716947087087762	0.4124875495478668	0.19343871046246985	0.1767574594302086	0.18915577343684842	0.2746023695267068	0.3912549368044246	0.3685853720418065	0.3002917583015994	0.23990351577308677	0.15988037398158694	0.19147597813995376	0.19482308831573592	0.2885636385195831	0.16970288390841204	0.1943683664548106	0.3179955074288704	0.21639128247314132	0.18260776395654277	0.22049858682981016	0.3327764704116769	0.3137780932169908	0.2890624105558385	0.1926905403540855	0.18088692214490487	0.30676879841377536	0.32200551876734684	0.30689688676891347	0.2482173621728212	0.176924363784277	0.246050867156144	0.3541217243369241	0.4429759196597225	0.2949630448652667	0.3215272799771175	0.3664225167168227
input//#SiguesTuLopez.edges	0.3060885075231534	0.2932903426642848	0.4529607509217073	0.18941003719490046	0.1474165381266347	0.14117967442419144	0.16894011062376224	0	0.15132368323046963	0.38802246583016364	0.3060626868024041	0.3205775350259622	0.27571908581113536	0.32044560392487187	0.4019121886657693	0.18014302768381052	0.20517408126611714	0.3118248361541648	0.22033506727303453	0.16806822056710158	0.2842267939198745	0.17075802080295066	0.4549674196232426	0.20295518973177396	0.18660935260211275	0.25216772159920464	0.22537647324395804	0.5191318172782036	0.2486434376919423	0.4206678753773818	0.3305299306264944	0.3267940394621168	0.15389625588370048	0.30853245968390786	0.31454908986960217	0.15116890430836638	0.17096397189569057	0.14877031004887675	0.23196685621907365	0.3753310827357479	0.4479721708146678	0.1500171422085086	0.1488568665699369	0.18230412590596667	0.24427251159121355	0.4270646200420162	0.36847822828314525	0.302464715751525	0.1852558606893464	0.1473450662012471	0.17246873305738974	0.1694389811610627	0.2871699234165269	0.14904212330279687	0.18317198618619346	0.32032635781201846	0.16028296064068037	0.12082192676737402	0.19083366766653365	0.3498121724093137	0.2707903788264091	0.27327279856657216	0.1461099057736044	0.17250784326484836	0.31021212941049003	0.2850211085783204	0.29423796708520367	0.21900629555898443	0.15745037406069362	0.2480738408680937	0.3912168917327755	0.4629076285253718	0.2966923763462652	0.32018624765399806	0.35610403920069533
input//#MasterChefMx.edges	0.2839361635143861	0.3007768878953112	0.4733720401301704	0.1973040843256818	0.17125473090842946	0.18336612734649327	0.19942020563697527	0.15132368323046963	0	0.40440130049185474	0.3162238351321601	0.3390051751693355	0.2745366252456003	0.2899555524448483	0.4183907218740762	0.1753748020459459	0.22680119734699966	0.32174636471865214	0.22206056600777124	0.18799049793913547	0.26721644016451496	0.16551808501115872	0.47462900255536233	0.23295282813711815	0.21468824123578767	0.23883892978047183	0.2402271197931325	0.5388518030740701	0.23977093814360728	0.44720879367515476	0.36955890619991716	0.3132520728442342	0.18196808473590642	0.3255615179807724	0.3030606480046816	0.17297945749968702	0.17547181811688883	0.1634631388311203	0.23910539455009816	0.37028604172262614	0.4693281103637481	0.15647697909797886	0.16321862154531874	0.20636911380601564	1.0	0.4474263059794813	0.39785405722790923	0.29926219786958896	0.1833232984915858	0.15762416567100823	0.19142403806368236	0.16649950129734836	0.3020216599521869	0.1536176936117839	0.17792425949533097	0.32686227484940045	0.15919773972516116	0.14055578410864855	0.20838923532333264	0.34226945994384295	0.26225806967297605	0.28951872800639455	0.1681068224052671	0.19593881614177255	0.3539254429562064	0.25715696421734047	0.2861405401256888	0.22330403830471235	0.14639697390427575	0.25203403523528944	0.40141264897462525	0.4797310302040716	0.30713550973018544	0.3230175257786986	1.0
input//SystemofaDown.edges	0.3971442686459703	1.0	0.4825753505721374	0.38552325676968013	0.3589908953468508	0.3739930000501639	0.3858426039424576	0.38802246583016364	0.40440130049185474	0	0.49254728254448776	0.3986855884792617	1.0	1.0	0.4041391997249092	0.3739835415325754	0.3710659454659542	0.3747400045045285	0.36765646035267563	0.39174236048884037	0.40124609256720456	0.4214991764175692	0.4795883708892619	0.43085573839158176	0.3564682611593688	0.38259634453736335	0.3670243948452676	0.5692818864818505	1.0	0.49645439200432595	0.4139544094710105	1.0	0.3700974523488064	1.0	1.0	0.3526741871570219	0.3760270042763567	0.39395209899647143	0.4128253238335692	1.0	0.4783094214581767	0.4130061039103111	0.3911018865449265	0.4207111060167319	0.3822929866522665	0.46829485952369176	1.0	1.0	0.3954141331142219	0.3621231133198367	0.3736987774544792	0.3745216549632391	0.34342568921781647	0.39072994661646976	0.38033694922528005	1.0	0.37469733580037445	0.3792302296287179	0.43187465750195386	1.0	1.0	1.0	0.36234357340342505	0.35151790942420635	0.4140891603401581	1.0	0.40964920010143757	0.41228931072170305	0.36210349972980616	0.3997679096840424	0.43739016968856625	1.0	0.43807974759649515	1.0	0.512088873856342
