	input//#BuenFinSeguro.edges	input//Cruz_Azul.edges	input//KAROL.edges	input//#Fakeministas.edges	input//#UnPeligroParaMexico.edges	input//Worlds2020.edges	input//Viena.edges	input//#SalarioRosa2.edges	input//#FelizLunes.edges	input//#ImolaGP.edges	input//Halloween.edges	input//#MasterChefMx.edges	input//Rayados.edges	input//Best_Buy.edges	input//#Fortnite.edges	input//#DiaInternacionalDelHombre.edges	input//#JusticeForJohnnyDepp.edges	input//#WonderAtMidnight.edges	input//#Elecciones2020.edges	input//#MatriomonioIgualitarioPuebla.edges	input//SystemofaDown.edges	input//Bloomberg.edges	input//#Xavi.edges	input//Manchester_United.edges	input//#TarjetaRosa.edges	input//#SiguesTuLopez.edges	input//#SerieMundial.edges	input//Chile.edges	input//Brozo.edges	input//Pfizer.edges	input//#ARMY.edges	input//#TheMandalorian.edges	input//#LordMontajes.edges	input//Trump.edges	input//#LaBrujaDelPalacio.edges	input//FONDEN.edges	input//Coco.edges	input//#RatitaNoEstasSolo.edges	input//#XSXFridgeSweeps.edges	input//#1MTrajeados.edges	input//#AMLOLujoDePresidente.edges	input//DiaDeMuertos.edges	input//#SoloLasMujeresMenstruan.edges	input//#CovidDerrotaAPuebla.edges	input//#HappyAuronDay.edges	input//Chivas.edges	input//Dinamarca.edges	input//Maluma.edges	input//Censura.edges	input//Best_Buy_Liquidacion.edges	input//#POSITIONS.edges	input//Checo.edges	input//#OfrendaEdomex.edges	input//#NiallHoran.edges	input//#Confetti.edges	input//#JusticiaParaAlexis.edges	input//#FelizMartes.edges	input//#ByeByeTrump.edges	input//#Temblor.edges	input//#nosfaltajorge.edges	input//#FelizMiercoles.edges	input//Europa_League.edges	input//Yakult.edges	input//#GoPackGo.edges	input//#AvisoCovidEdomex.edges	input//SpotifyWrapped.edges	input//HereWeGo.edges	input//#TrumpvsBiden.edges	input//Greta.edges	input//Ravens.edges	input//#AntorchaAyudaATabasco.edges	input//#CuidemosTodosDeTodos.edges	input//Bob_Esponja.edges	input//Pumas.edges	input//#HalaMadrid.edges
input//#BuenFinSeguro.edges	0	6.327146837686935	17.3571155416254	9.289308302651818	18.217850183490885	8.174480253795803	7.16333206079499	3.76254274920122	17.295066052971066	9.13864792404942	7.881589907847813	12.436246160720437	11.011580507257861	5.950870611051484	11.433724055637892	13.226481265681517	8.742619979283052	13.397908210150955	6.983696643467715	17.105732764357345	7.258464628226926	7.104898924069978	10.91488080380984	6.528159655244278	1.4879253151162937	11.22842168689766	8.203336305904628	12.221715910016789	7.6913494762558265	6.5528780145070815	2.955335727406195	9.492279169640486	14.125948445957235	6.466584918020835	17.704477200055045	8.726851612791837	14.769731269727641	10.072699995040928	2.3415806478793253	11.397597226702095	14.366647899909257	6.7745184643772065	8.583054609026531	11.740535478437074	11.92840309863431	10.170830636777296	12.58313549584647	9.75407191248499	7.043748589943175	6.302421680339926	5.901614468488255	6.486690989778722	1.0549823209722622	9.25843296774937	10.186520137286658	10.534595904324684	7.267536138572063	10.342325409752902	6.685111068984791	6.199337379020484	16.45167911033806	4.683193229031365	5.335490226888655	7.764969864252325	1.7093586596461292	6.587750986557094	8.109093255954205	8.047409115221582	5.6819771110840716	7.849089446641233	11.838716624635262	1.5012125487628283	5.446472846775748	9.377172163551071	8.45335951089572
input//Cruz_Azul.edges	6.327146837686935	0	11.44477426830772	3.577055309023055	12.304357833512636	3.223889935550487	1.7655726585958558	4.9978143370911505	11.409730335620143	3.9511531719723747	2.9997654540837897	6.774414204329404	5.589619790411802	2.0796876521145666	5.8517693262567025	7.725556037192182	3.6037009992034736	7.702029448547888	2.440128410827139	11.203739991032663	1.9360188371937355	2.3471824504568857	5.70408821993397	1.8035956355672833	7.207858106600625	5.396128918692195	3.1871730126258524	6.388725507661821	2.3942537679765326	2.0890974113857625	3.810292444006988	4.211723694090999	8.347346066105214	1.7584164415763117	11.79015283227204	3.453051390561573	9.13991743025181	4.244565490944688	7.497898883257642	5.77042916627421	8.574027656271925	4.061797828150717	4.007404214854779	6.474075748701509	6.360902557376056	4.97528924956779	6.815487946385833	5.236946521403352	2.3502173838831304	2.33509391612828	1.767662181577681	1.5802079913449112	6.719836539732621	4.437476828421727	5.158453376287011	4.797576903110622	2.772565280392207	4.869409943945543	1.7163254857404167	2.0320047726264923	10.529061712725074	2.3037999086489984	1.9597961034475195	3.6628859171585058	5.510875503088551	2.257976560610083	3.0473111665212955	4.056078066715233	2.6418476260965136	3.0907115073598175	6.026635852474398	5.898909199289739	2.2086143958928224	3.9762286792172494	3.397151417047686
input//KAROL.edges	17.3571155416254	11.44477426830772	0	8.134194782160435	1.6330719436424124	9.191537044899007	10.46948929033607	16.322038155361483	1.4490744721964772	8.263917054916536	9.938638395410198	4.974609306536403	6.402254614801698	11.723454336217825	5.963921216904345	4.497522148985718	8.639132695981571	4.013729552077095	10.604705187456794	1.1677924310439995	10.405311342643955	10.77343636573376	6.442234737815554	11.090227049232997	18.433313781565705	6.128693854727732	9.246733628580223	5.217445957354405	9.695755284934979	10.909149439965047	14.929292405389223	8.410434904005433	3.3580360858962517	11.102456501354187	1.796184711654747	8.63026392883356	4.063674028598861	7.3187078332672835	18.93239702727006	5.959518314923298	2.9904676417161395	10.928023374852705	8.774060932598868	5.61658006318832	5.428712442991086	7.235971382010173	5.014150414292932	7.603043629140405	10.482984512234419	11.938855524053636	11.455501073137137	10.870424551846673	17.8582335362394	8.098682573876026	7.1705954043387345	6.883740263500225	10.378184664243285	7.275077895760826	11.199331872576023	11.300003428687157	2.142887211901664	13.28017954577848	12.290441369340954	10.0629081192166	16.472146230910617	11.317263535179423	9.426151656166295	10.159776645881472	12.360205227462279	9.654628113614557	5.559870530851446	17.218898788980944	12.148191214340233	8.025082659521308	8.992845951788617
input//#Fakeministas.edges	9.289308302651818	3.577055309023055	8.134194782160435	0	9.070096277519864	2.607789630762441	3.4182845610721975	8.254230916387906	8.112392830567318	2.158603984119017	3.8297100410211704	3.661400046994409	2.9117660805192673	3.926574725287888	4.003603167692437	5.306431084738309	1.8945000624810715	4.782075985378898	4.0662366752023775	7.89759903674556	2.773263038603006	3.256568214952414	3.8229611967710158	3.4247945347282247	10.365506542592124	2.47411853015256	2.2633133126255753	3.817323961939097	3.0005715892600784	3.2328645343912012	6.861485166415646	2.974606795344749	5.318918316816076	3.454097901479692	8.53891880180059	1.278916670845688	7.14713868942462	1.3092416758121537	10.864589788296476	2.926845986711065	5.510956957618128	4.779753411494207	2.8411156058122584	3.654720719443535	3.753083662565715	2.694661522273428	4.247655357424714	3.9984776375373507	2.8418391261281917	4.995705523074772	3.8961183123062746	2.950306178254264	9.790426297265821	2.4540504063304045	2.887743002338263	1.928504607911563	2.9065584350956453	3.725261624364998	3.6048451982829968	3.392278089135761	7.23549922509889	5.212372306804906	4.299133114125562	3.285846159115089	8.636003566471555	3.3238549636157377	2.676051427297761	4.792218072591596	4.927077471770424	2.6392669173157386	2.947597176607006	9.15109155000737	4.127986987653914	2.120013367779008	2.0038811197250523
input//#UnPeligroParaMexico.edges	18.217850183490885	12.304357833512636	1.6330719436424124	9.070096277519864	0	10.043369929695084	11.329072855540982	17.182772797226974	1.9505587187412918	9.079202259441463	10.798221960615113	5.806239633092988	7.278283043349137	12.584188978083315	6.823504782109258	5.04844325041901	9.493094742246855	4.819941973339933	11.465439829322284	1.236711451652548	11.266045984509448	11.634171007599251	7.302969379681047	11.949810614437908	19.294048423431192	6.989428496593227	10.107468270445713	6.124495257549185	10.556489926800472	11.769884081830538	15.790027047254712	8.924067691404304	4.091901737533652	11.962040066559101	0.7437373766730602	9.534847043705094	4.984737622780655	8.251147797232786	19.793131669135544	6.820252956788791	3.8512022835816313	11.788758016718198	9.634795574464361	6.537397712274325	6.289447084856579	8.047019546713592	5.634714687644415	8.463778271005895	11.343719154099912	12.79843908925855	12.316235715002632	11.731159193712168	18.718968178104888	9.013054108535902	8.031330046204225	7.686815484862896	11.23071996743555	8.13466146096574	12.058915437780934	12.161559160513328	3.1357916380664577	14.140914187643974	13.15117601120645	10.864928992794244	17.3328808727761	12.249703499144927	10.217537190612731	11.020511287746965	13.220939869327774	10.462645105241782	6.492310494816947	18.07963343084644	13.007774779545143	8.84067801993982	9.789617534568858
input//Worlds2020.edges	8.174480253795803	3.223889935550487	9.191537044899007	2.607789630762441	10.043369929695084	0	2.993067533264104	7.13940286753189	9.200794117557358	1.7448107022917971	3.816561531235164	4.591357889986587	2.900724861662466	2.987808671880575	3.657932808415798	5.609621587562764	2.662883203377388	5.609437994195429	2.5164590839118715	8.931252510561544	2.323286197600757	2.415817508770822	3.149075692873626	2.294780713201805	9.261808470866736	3.187085511836896	1.0475699321373366	4.38210744602541	2.359994660832266	2.9281271936576987	5.891988414176594	2.8689362418825888	6.073839968254269	3.3451632331689027	9.529996946259242	2.4114443343988885	7.248075067874983	3.2604056947258573	9.749761739440462	4.13399584255862	6.355116825571715	3.0471105234733336	2.3374959189025515	4.548392193680274	4.064433770269641	2.114432252038484	4.627256285988301	2.7966774743290967	2.271137006398068	3.775651069498751	2.8454895495804293	2.2768346381104045	8.847653307197021	2.86679770249978	2.7824018265724946	3.22291555903836	1.7117423874413045	3.3042744143055995	2.5848483012108145	3.222109289367542	8.370172919386185	4.2620868901820375	3.6381841193700275	1.7299811748991012	7.908794448413252	3.8281517058064263	1.5566178623914428	3.294356926264094	3.6873098482159454	1.3776532052551618	4.583944587495421	8.036263501151353	3.395415158797765	1.4961792660699162	2.183472691876765
input//Viena.edges	7.16333206079499	1.7655726585958558	10.46948929033607	3.4182845610721975	11.329072855540982	2.993067533264104	0	6.268056789183355	10.434445357648489	3.9237867996561624	2.410382585203505	5.851275071270326	4.813826226158229	2.3115292890227623	4.99238703718417	6.66635765269728	3.655311679760718	6.658649711780065	1.7321098735971732	10.228455013061009	1.9064226930238428	2.3631094948249505	4.990919122397799	2.4652602069001626	8.123152931010564	4.432188292353094	3.3817507076786177	5.358142456171199	1.5469512246311345	1.7019940212110398	4.641622527927322	4.302189826070774	7.4452588491194955	2.063534200902036	10.814867854300385	2.977535139828448	8.230469076201123	3.8388517135147944	8.49571514132745	4.9031224649096	7.584629789217807	3.37874831842719	3.3360731352155772	5.1623412728229265	5.565812774749312	4.223116381168693	5.796418535069925	4.488842984481876	1.956968726664152	2.022795168076456	1.948482371520652	1.9668106936574663	7.635131364142559	3.5123403457512907	4.311721832836373	4.361056383121166	3.1806504117960865	3.633205552353643	2.5285972491473454	2.3280515611502697	9.53124545465527	2.9787394205146067	2.6220479012544557	3.5352885677014028	6.443144674078664	2.4887923075475675	2.471525126283526	3.315170683433741	2.813417862105925	2.7944128034914217	5.331369860730259	6.782216903038342	2.7402780525416137	3.4047654619076626	3.2105764797528593
input//#SalarioRosa2.edges	3.76254274920122	4.9978143370911505	16.322038155361483	8.254230916387906	17.182772797226974	7.13940286753189	6.268056789183355	0	16.25998866670716	8.103570537785512	6.74138914589484	11.438129930673455	9.976503120993945	5.283291006191321	10.398646669373981	12.305175917043174	7.7825033611584615	12.447287550552826	5.962438043102562	16.070655378093438	5.958702337739395	5.874372519803832	9.929138328159267	5.412919995082763	3.358565977161432	10.193344300633747	7.075304526781261	11.18663852375288	6.715976968775738	5.89959287924593	2.9934819075448287	8.33964903023652	13.090871059693324	5.46460524369609	16.669399813791127	7.931006004858889	13.596884862195521	9.037622608777017	2.879083479008753	10.468829050991916	13.33157051364534	6.686223787073945	8.052006285149966	11.132885464166693	10.920405473454428	9.13575325051338	11.555149013516466	9.035795780678262	6.267194571357966	5.305225229818841	5.170994056450994	5.498819338271455	3.6533770928254703	8.731839548087457	9.363879580066005	9.499518518060773	5.952052829791429	9.33149513894035	5.402338594055322	5.5934588436447035	15.416601724074145	3.827866689647717	4.625296651692399	6.317843804432726	4.17678150304096	5.109036640463997	6.965235606614242	7.191219890873265	4.688555263676883	6.720127691985195	10.82374544150089	2.9188705930395478	4.697315083513803	8.342094777287159	7.393155262658116
input//#FelizLunes.edges	17.295066052971066	11.409730335620143	1.4490744721964772	8.112392830567318	1.9505587187412918	9.200794117557358	10.434445357648489	16.25998866670716	0	8.273859117862026	9.90359446272262	5.091708806391714	6.444460216416774	11.6614048475635	5.941537702006914	4.115987919598906	8.691223351684197	3.8971578428201146	10.542655698802466	1.2415321217181365	10.362893678699585	10.71611369057995	6.385967851997465	11.05518311654542	18.371264292911377	6.086599477927341	9.224477254118426	5.129372229811284	9.63981523742968	10.847099951310721	14.867242916734897	8.37432931503296	3.169117607013833	11.06741256866661	1.5063134077720939	8.568214440179233	3.2664051962006044	7.233792416510833	18.870347538615725	5.904679327152978	2.928418153061811	10.86597388619838	8.712011443944538	5.6439362258705845	5.366662954336759	7.245228454668526	4.745617203821475	7.5409941404860765	10.420935023580093	11.903811591366058	11.393451584482813	10.813014300488895	17.796184047585072	8.0366330852217	7.108545915684408	7.011310375833077	10.387441736901645	7.240033963073248	11.164287939888442	11.25720581312934	1.3564172818718885	13.218130057124156	12.24324269428082	10.07216519187495	16.410096742256293	11.228022155596292	9.435408728824651	10.113143450581408	12.299254937700052	9.663885186272909	5.549060027726165	17.156849300326616	12.113147281652656	8.03758377581964	9.026010593222054
input//#ImolaGP.edges	9.13864792404942	3.9511531719723747	8.263917054916536	2.158603984119017	9.079202259441463	1.7448107022917971	3.9237867996561624	8.103570537785512	8.273859117862026	0	4.317490512651821	3.7229473404028157	2.015458328646109	3.8677130525583028	3.2097163985977253	4.928215251304341	2.3705138088907787	4.894433475398434	3.96993917071581	7.9670848403079235	3.065272901092622	3.422488551083043	2.6210295407934003	3.1402679882239424	10.233963622116892	2.570967763076201	1.2469904763082735	3.983540677260227	3.3230382808018044	3.7958318118818473	6.742049468805891	2.762173205522754	5.287182868784023	3.8748800113198847	8.565829276005623	2.407361023469771	6.688962963018645	2.5317404624894495	10.71392940969408	3.401895258757867	5.563899617947276	4.172307523350315	2.497047989579204	3.9928463022247938	3.3722729484099556	1.8468618412983595	4.072364984482153	2.73501148890713	2.9414339397437352	5.107191901315478	4.051905821252746	3.123210448007786	9.82712159567755	3.136876368883304	2.675056817579517	2.1848807006029434	2.158350290300711	3.363884185298363	3.5121994607787856	3.884487977263838	7.465862573519138	5.209189722670861	4.417401213274053	2.2484139394885525	8.84459489501767	4.197893982283275	2.2671125987879033	4.286157213510187	4.9738699681038545	2.1485124463635903	3.729017801668086	9.000431171404971	4.261429971467853	1.459993001448453	1.7600724445819318
input//Halloween.edges	7.881589907847813	2.9997654540837897	9.938638395410198	3.8297100410211704	10.798221960615113	3.816561531235164	2.410382585203505	6.74138914589484	9.90359446272262	4.317490512651821	0	5.481397992577488	4.762501093222256	3.3094534098485466	4.773906407233671	6.1923576671560365	4.325143191880986	6.353214012026192	2.7571501712926247	9.697604118135141	2.836532659415498	3.0517584514387384	4.840390762104195	3.28951275811011	8.68985793452798	4.356773992083055	3.976865525633823	4.785581009138944	2.507146227098526	2.706808256006935	5.285000984016314	4.245975877437433	7.142759103458064	2.8779214854115667	10.284016959374517	3.3197775697342866	7.222109428251789	3.946189497033883	9.011416386522505	4.553600433395917	7.141572654231581	3.345280758038854	3.4803531180345564	4.747065378345379	5.342406944320917	4.0071247876727	5.350106677759203	4.343340991856922	2.528200596080506	2.7415659858570924	3.552293595299969	3.011558117595227	8.201836367659975	3.437972065253773	4.069873564577201	4.396589650693805	3.841053294003543	3.125511127430355	3.3405204991582504	3.7975091921824573	9.015544209460215	4.044190582040496	3.8414910822217174	4.00306152706812	6.964108581717009	3.457725358579179	3.2236336729488	2.69940121886957	3.1172626207659957	3.170790272389417	4.6583171524466795	7.453352269450619	3.3314280204940374	3.827216973770152	3.9442568337758748
input//#MasterChefMx.edges	12.436246160720437	6.774414204329404	4.974609306536403	3.661400046994409	5.806239633092988	4.591357889986587	5.851275071270326	11.438129930673455	5.091708806391714	3.7229473404028157	5.481397992577488	0	2.9035190810291693	7.003380620644382	2.984240118857044	3.6363140155876166	3.7080629459025127	2.8521738690448735	6.154884375548239	4.828379222639527	5.657826077199967	5.865790748816447	3.0534319942221995	6.243840938874251	13.51244440066074	1.8209384043413004	4.439116643332667	2.9062485337807504	5.3430021289828495	6.209408737108025	10.254190348500686	3.6607287335355023	3.239555409949422	6.208227039076554	5.336800534395689	3.8579611786934507	5.0877033610525215	3.1207697820099503	14.011527646365096	2.312747872296813	2.8013537943651072	6.225146149635804	3.9763245168389543	2.7013344148974063	2.2328065352896664	3.069940562531234	3.0606230325377166	4.019324794891612	5.61844788192723	7.107514919088702	6.590257886093033	6.025690462336464	12.93736415533444	3.6317961247773067	2.815501447017578	2.0449746270754097	5.658352169854084	3.5998747583838964	6.325259508423028	6.5452666025703685	4.2226010717198275	8.610074400756506	7.369571988435993	5.161549964099751	11.61613537174724	6.805770903658077	4.67555338182117	5.812783879729367	7.466852470060006	4.859406909539993	2.2019784206595783	12.298029408075987	7.293827063727039	3.2214849545942825	4.401661950393639
input//Rayados.edges	11.011580507257861	5.589619790411802	6.402254614801698	2.9117660805192673	7.278283043349137	2.900724861662466	4.813826226158229	9.976503120993945	6.444460216416774	2.015458328646109	4.762501093222256	2.9035190810291693	0	5.38795253154385	2.496234713944505	3.409137503943939	3.8046804386246302	3.279003044142876	4.673713645252241	6.179539787328748	4.45147626060931	4.757077413950723	1.8561617628350224	4.89444920596664	12.087778747198165	1.8159190658551043	3.0124278633225305	2.953880014847246	3.921073621367641	4.854174970164955	8.583757371021687	3.5784848500454385	3.53371865433535	5.527838948009215	6.760444447471696	3.0738092362284877	5.208846288120591	2.721471346648055	12.586861992902517	2.7363139204027997	3.8282285104366958	4.6430371258039305	2.746463179169089	2.8004028371938965	2.139684859219998	1.452123142748283	2.840172833494852	2.4819751071202103	4.263574827403127	6.027333274820747	5.337186040644187	4.61483667047702	11.526113134267524	2.6471871085073215	1.9894962561275684	2.6373629357952604	4.067292459034084	2.69783039867981	5.006973634632084	5.407247863926455	5.5680076678701	6.942363060828161	6.131489492364999	3.7662278348003433	10.4145201354167	5.753164747465189	3.247115241010773	4.608492401340554	6.08895410001807	3.350342563170758	3.2427599701208165	10.87336375461341	5.856413968463096	2.1589170893885403	3.1528480664645873
