	input//#UnPeligroParaMexico.edges	input//#LaBrujaDelPalacio.edges	input//#TarjetaRosa.edges	input//#LordMontajes.edges	input//#1MTrajeados.edges	input//#BuenFinSeguro.edges	input//#Fakeministas.edges	input//#CovidDerrotaAPuebla.edges	input//Censura.edges	input//#SiguesTuLopez.edges	input//#JusticeForJohnnyDepp.edges	input//#RatitaNoEstasSolo.edges	input//#XSXFridgeSweeps.edges	input//KAROL.edges	input//Maluma.edges	input//#MasterChefMx.edges	input//#JustiiciaParaAlexis.edges	input//FONDEN.edges	input//#MatriomonioIgualitarioPuebla.edges	input//#POSITIONS.edges	input//Viena.edges	input//Rayados.edges	input//SystemofaDown.edges	input//Coco.edges	input//#Elecciones2020.edges	input//Chile.edges	input//#ImolaGP.edges	input//Worlds2020.edges	input//Trump.edges	input//#TheMandalorian.edges	input//Halloween.edges	input//Pfizer.edges	input//#OfrendaEdomex.edges	input//DiaDeMuertos.edges	input//#SoloLasMujeresMenstruan.edges	input//#FelizMartes.edges	input//#ByeByeTrump.edges	input//#nosfaltajorge.edges	input//Chivas.edges	input//#HappyAuronDay.edges	input//Bob_Esponja.edges	input//#FelizMiercoles.edges	input//#Confetti.edges	input//Manchester_United.edges	input//Greta.edges	input//#TrumpvsBiden.edges	input//Yakult.edges	input//#Temblor.edges	input//#SerieMundial.edges	input//Pumas.edges
input//#UnPeligroParaMexico.edges	0	18.674411903924213	11.046439916441114	16.67747709744983	13.38503429838678	15.110416198544618	18.30814427965712	16.46662939074168	17.042254883673667	20.824624422276848	14.802027886018358	18.07003722628639	19.772235797489476	13.91998306643453	21.554011269901046	21.99300364906295	14.463753948442337	18.988219509650115	19.135833051095833	22.369380884168745	21.515716915437594	25.037644110994314	24.67916884118889	21.047463638516078	23.17224242609331	20.047061199424736	26.913229366352205	25.32906723402048	24.124258039355198	22.195582815511997	20.726895502697595	25.73198914792862	11.873677977607437	22.000278420144962	16.059890333992147	17.025377902749874	22.860528500833798	19.731010104154084	24.381587812195058	13.850540817331321	15.693688490556704	27.324910179111786	14.352683919060183	22.567525868325863	24.749034619818385	24.11396224540064	4.7895665637133735	21.678258135283574	24.75078613272194	26.54139401045918
input//#LaBrujaDelPalacio.edges	18.674411903924213	0	15.00134697491641	6.163697417586622	11.879532228330811	9.906747362258239	7.797304833352336	10.023563145449126	6.621903666163068	11.300503521308041	7.355960924637565	6.439801230945531	4.66904476571991	13.913271256295024	10.473999026010016	10.045423433948464	15.73352349816957	5.449979055085438	9.4535971376242	11.509408242957573	8.758713010478626	13.156253733389448	12.616007851076423	8.373942770991766	11.152663172597602	9.247913558167774	14.955753439621205	13.182837635948335	11.623880727987146	10.430293979580112	8.64264533310429	13.767782374673597	12.642078435010188	9.771362784391647	8.101229063804402	11.953670462008493	11.377026635881617	8.038647236320543	12.181028344821092	22.136694996764398	6.3365448540015965	15.836845758708579	6.030692223762611	10.697201554291645	12.452225589986929	12.091106004946393	19.818242436822423	9.945761988933421	12.605969571731755	14.664685325972373
input//#TarjetaRosa.edges	11.046439916441114	15.00134697491641	0	16.300989958603797	16.98063920868017	15.154035518526635	14.909786320475934	13.549789264044408	15.449528869618591	20.562978516254997	14.03239469407723	17.596889793407552	16.388171941235072	17.635003078801283	20.212565101070542	20.41656029019239	18.84612291797059	17.265819792064036	18.764127349877867	21.108293983968995	19.83119640706075	22.90850571188002	22.140997847962566	19.064125931440884	21.670574382244745	19.614654981739587	24.386539990649542	22.914535014043413	22.069548586647844	20.484260551585816	19.358618823008786	23.46962844413211	15.799735031413205	20.391565760331826	15.414227259477377	19.707668124140735	21.18623690850395	16.857554815488754	22.56740956677536	20.03975111458081	15.508169174257619	25.01095121354727	11.5910276811235	21.24056223064553	22.267819072924883	21.95008449884575	10.540675669455329	19.550715156665536	22.405074658166175	24.16113386554865
input//#LordMontajes.edges	16.67747709744983	6.163697417586622	16.300989958603797	0	7.591727332992269	7.20464555088385	9.309562020996891	11.323841817443236	4.405728660994005	9.995581703919346	4.632704135620843	4.584101936419624	7.570498636255383	9.214629485337618	10.801497899744126	10.23434994790143	11.182642399373782	5.685756720320391	8.097854433788429	11.253259274933017	8.977992762460346	13.763139080984017	13.63338597479857	8.701537132721718	11.2712335576665	7.883348018659093	15.95094162349372	14.134619919163471	12.210348835305114	10.343973971615961	8.311250503689216	14.566503486090214	7.8152346902289835	9.661671100314827	5.232713321827842	7.385098022519703	11.539523969723312	9.094879168947127	12.719376815998451	18.624313219878555	2.2674657536352933	16.50083466887355	6.202368573055807	10.47414211241387	13.428044914843705	12.719053012330807	18.060339124159608	10.920132483517492	13.383927411953959	15.655271458645714
input//#1MTrajeados.edges	13.38503429838678	11.879532228330811	16.98063920868017	7.591727332992269	0	10.038758763277125	13.119076531902929	14.282474544827725	10.410461676404246	12.18281690429833	9.388008184130276	8.350413128020007	12.971707948706193	6.638329101832193	13.949296058852308	13.908518121169124	8.96444068557776	10.255047519631647	10.450262610420603	14.147288177550303	13.0000086430365	17.5464959898191	17.604608897395075	13.234771494800942	14.939069013128359	11.11225981414714	19.85185560968733	18.071820177690913	16.184021898313517	14.478067217455814	12.690190578742088	18.38533308370077	3.945228582258375	13.785105977724582	10.017291536547186	4.158568496312255	14.9731479299481	13.314711315042974	16.370060137563627	16.176462122150934	7.161175840968778	20.304343127505344	10.273597418908087	13.889345662102055	17.462394496242922	16.68775676631023	14.952090198720484	14.659012726292787	17.385160680360755	19.41421928741973
input//#BuenFinSeguro.edges	15.110416198544618	9.906747362258239	15.154035518526635	7.20464555088385	10.038758763277125	0	12.058514938793873	12.833654409756686	6.221018788788811	13.831005194563318	4.777115215342762	9.937110086811376	12.14052153473327	6.904552494024973	14.750737545116781	15.003261960753603	7.84108727622891	11.273309077061057	12.313939753587116	15.821783951546717	14.096639924944517	18.02368714336348	17.87773728516796	13.07207977877426	15.803238910435704	12.35022689587924	20.044345415633405	18.28762412977415	16.77079147837982	14.383242021433837	12.398517950167557	18.692728960338144	8.723695946961376	14.265834962447824	4.707509805160001	11.577946216961953	15.980448049026286	13.091258262286454	17.083848530155542	13.741154828784756	7.174724853806655	20.40317379525215	9.156820496430203	15.32428479685716	17.802760206792943	16.989637464036168	16.47547020187103	15.179943732521158	17.615337609789353	19.722767348614216
input//#Fakeministas.edges	18.30814427965712	7.797304833352336	14.909786320475934	9.309562020996891	13.119076531902929	12.058514938793873	0	7.399002547279841	9.70545308038416	7.7783491029960175	9.904486560674405	9.535796731786272	9.613631172462085	15.001502803187318	7.4268716385991	7.003297939146855	16.71024286366365	8.73929502536279	6.5684389241357275	7.930848052545089	6.769654728918175	9.527823930882114	9.147943905540355	6.353558184513814	8.224399908091375	7.020845085231825	11.596082103643036	9.684817079287292	8.828801286153919	7.501911521583262	7.272291073565578	10.407355670664398	13.367404449676082	7.090189955512254	10.586206180831605	13.507278119672874	7.535100258907969	3.3321794016665587	9.095998606722523	22.560072269013727	9.211474527071251	12.30992679697588	8.362851777719536	7.940961424250815	9.007804865403475	8.953697236184025	19.233076640818165	6.394699554417745	9.004804629941248	11.348293074682736
input//#CovidDerrotaAPuebla.edges	16.46662939074168	10.023563145449126	13.549789264044408	11.323841817443236	14.282474544827725	12.833654409756686	7.399002547279841	0	10.780398552447862	12.258410389806848	10.159359872790207	12.430080041107324	9.775621021637397	16.061486430877057	9.559581271721797	10.581706106397387	17.410958075848264	12.1069583404273	10.794248229959253	10.879516719339776	10.308455203660737	12.556860169540633	11.626401010848726	9.638558026244564	11.337823780235821	10.573945871116972	13.723014486458094	12.212870771041127	11.906789062902511	10.250416459408404	9.025657148931217	12.736549900989338	14.251983576198555	10.607726501338949	11.57166424539986	15.615162060406266	10.996141505677272	8.727374619961559	11.825370301397758	21.515754179763697	10.991811470445233	14.771948145623519	8.6447644634901	11.46914857731649	11.79777509521951	11.47114185345399	17.61953652099148	9.086701217489596	12.088592067660198	13.294652130694503
input//Censura.edges	17.042254883673667	6.621903666163068	15.449528869618591	4.405728660994005	10.410461676404246	6.221018788788811	9.70545308038416	10.780398552447862	0	11.880181008452949	3.6082268642157884	7.08188158580721	8.296474307592387	10.215308829773898	12.3378278808407	12.028344939134188	11.38633460822998	7.238888109922754	10.06177858102567	13.213943391233936	11.037056208205868	15.243952607345845	14.98081789714494	10.302434197539098	13.110097563750548	10.000124482371055	17.31069194477596	15.490999809221936	13.934633583174357	11.833267331014028	9.853012231910732	16.046253490232047	9.782177287616287	11.337551548537348	2.900375229013473	10.719010136198904	13.241691910304162	9.88144642939329	14.35367940851846	18.24018615782232	5.425897590722552	17.963423212289662	6.750844701673647	12.58944945637186	14.774377368609652	14.31180254878461	18.183310798043617	12.245179186707023	14.77138915735588	17.062861943950416
input//#SiguesTuLopez.edges	20.824624422276848	11.300503521308041	20.562978516254997	9.995581703919346	12.18281690429833	13.831005194563318	7.7783491029960175	12.258410389806848	11.880181008452949	0	12.528691789201883	9.105828171007532	12.660839961600344	14.567421291130838	6.326560283906386	5.388653703409519	15.955719512013594	9.324286752710265	2.804621696099012	6.465149487239822	6.112577216641944	7.9447607741122255	8.936714913526703	7.012129117989806	6.4486320131848585	4.796758495649614	11.000998290866555	9.145826858419026	8.093834603352693	6.74175086667556	7.5461843784208735	9.744713423797151	13.472308050329415	6.194000717363373	12.255821161767948	11.363867829544281	6.153068850396395	6.352411785561405	7.468222377563768	23.068851830203226	10.343755831705604	11.156837936901312	12.469612553808279	5.674893706061761	8.382979914590292	8.6840076397668	22.021093059468765	6.752043804645935	8.010848295123488	10.623634614116929
