	input//#BuenFinSeguro.edges	input//Worlds2020.edges	input//Maluma.edges	input//#JusticeForJohnnyDepp.edges	input//#MasterChefMx.edges	input//Coco.edges	input//KAROL.edges	input//Censura.edges	input//#LaBrujaDelPalacio.edges	input//#RatitaNoEstasSolo.edges	input//#ImolaGP.edges	input//#TarjetaRosa.edges	input//#POSITIONS.edges	input//#UnPeligroParaMexico.edges	input//Pfizer.edges	input//Halloween.edges	input//#OfrendaEdomex.edges	input//#HappyAuronDay.edges	input//Rayados.edges	input//#CovidDerrotaAPuebla.edges	input//#JustiiciaParaAlexis.edges	input//#LordMontajes.edges	input//Chile.edges	input//#FelizMartes.edges	input//Bob_Esponja.edges	input//#FelizMiercoles.edges	input//Manchester_United.edges	input//Trump.edges	input//SystemofaDown.edges	input//#SiguesTuLopez.edges	input//Pumas.edges	input//FONDEN.edges	input//#SoloLasMujeresMenstruan.edges	input//DiaDeMuertos.edges	input//#nosfaltajorge.edges	input//Chivas.edges	input//#SerieMundial.edges	input//Viena.edges	input//#Fakeministas.edges	input//#TrumpvsBiden.edges	input//#Elecciones2020.edges	input//#TheMandalorian.edges	input//#MatriomonioIgualitarioPuebla.edges	input//#1MTrajeados.edges	input//Greta.edges	input//#Temblor.edges	input//Yakult.edges	input//#ByeByeTrump.edges	input//#XSXFridgeSweeps.edges	input//#Confetti.edges
input//Coco.edges	0.9983115912350449	0.5296164469424351	0.4829178090124764	0.5743099186080033	0.3033783087726243	0	1.029744431323987	0.34733902756742385	0.7178253916952224	0.5011331894283598	0.7675601159517373	2.185333453096777	0.89244072750709	1.7886835352241746	0.3744523119262013	0.2809380280162076	1.108380667760908	1.475435860038207	0.654736548006853	1.277195378747193	0.7319544768811641	0.6515010529730839	0.34430436195636277	0.6953016138011684	0.29399234584061057	0.5759121022163444	0.2691041983128553	0.3879726750258615	0.40273289472138063	0.3125708343662079	0.6000834313761378	0.16813916014852948	0.5187683788390012	0.2856728248375141	0.2904587582916448	0.4993019549050325	0.5026097028256757	0.22276196635383386	0.7119928416086682	0.3352245673646712	0.2951984804428628	0.28009366451486994	0.5575109113748681	0.8906605820845962	0.5453361684546256	0.3723068592246652	2.251611439637163	0.19457177407692772	0.4457265671868659	0.8930749940452318
input//KAROL.edges	0.10421811788711169	1.5572169104005587	1.495890610552506	0.8446685916188561	1.037574737600146	1.029744431323987	0	0.7307572441700586	1.5467200152391023	0.5455430358487675	1.7958867877355458	2.412841964443829	1.9054135290471195	0.7589391039001878	1.404196743250188	0.7810030536061424	0.972199646906584	0.6697241422314141	1.6715410582681538	2.1867229036173157	0.35032546741044096	0.5768871111931448	0.7091452859181234	0.7267419790425109	0.7536610552761072	1.6056565335403312	0.9552194912495109	1.1751059243787751	1.427557730294025	1.1184713636906913	1.6251877916718762	1.0106070162227538	0.5192670460487016	0.9072035067860326	0.7845895077431864	1.5234470739978287	1.5245952782913508	1.023669530883909	1.6215203664787907	1.3389567341327815	1.0822893453816527	1.0602287777128414	0.4769889907480509	0.321299695520817	1.565808988264748	1.3886690732738476	1.2256987170344478	1.138125541782295	1.3591464489242786	1.453977994050015
input//Censura.edges	0.6993244040811166	0.8264596662304997	0.7794433068302677	0.303564260645408	0.6245038138489287	0.34733902756742385	0.7307572441700586	0	0.825739331594775	0.5161018523823799	1.0651295435654873	2.4095765938205167	1.1889662253248812	1.4896963480702465	0.6734394990801296	0.1183127079593913	1.169187804442225	1.1764486728842787	0.9485365876795717	1.4597652851156218	0.6802249763762193	0.6434993823565415	0.5600949072275679	0.9091501334862945	0.28887446182109716	0.8748992893702726	0.5926913927252966	0.7115598694383028	0.7067511942836022	0.6336963394425124	0.8948452156045144	0.2920440234072852	0.21978119168507293	0.502561283870934	0.5025884758902788	0.7955561323756232	0.7938380341212921	0.5470258511585888	0.8945627479770968	0.6711590325090654	0.6187856748553041	0.6103594649854958	0.7385249691486968	0.6655091449344158	0.8351830602142325	0.6688323570424566	1.9459456464250509	0.5327705062500302	0.6283892047542199	1.123996740827156
input//#LaBrujaDelPalacio.edges	1.4817447960023995	0.9024259631992533	0.9686214234704522	0.7914829706809462	1.0070421010184982	0.7178253916952224	1.5467200152391023	0.825739331594775	0	1.0059784940727203	1.0080225083743282	2.1190323073815374	0.7844436931020053	2.112566785541246	0.9412720516825307	0.7807231435200968	1.4322639180779797	1.7993191103552784	1.0646535754740032	0.6400028883782134	1.25642334852386	1.0456318550045962	0.953631433309531	1.0998177654444823	0.8028886850556547	1.1227257751098407	0.9862279188072597	1.105096395520266	0.8781076588306792	1.0064595153996552	0.8918524912497963	0.5514022511747336	1.0288429836719426	0.922163644005676	0.8853421112466037	0.8944822118772685	0.9979459092445855	0.9398856868482383	0.07623028025164214	1.001163075435834	1.0123222009372672	0.9979190562100922	1.1272668816086573	1.3825720237722763	0.9926575276974002	0.8800333616820493	2.574793018753417	0.8855073672597584	0.48596938174272575	0.9412166424629859
input//#RatitaNoEstasSolo.edges	0.4971784018066851	1.0286056685049312	0.9503475747037384	0.6019131037835023	0.5077418173178567	0.5011331894283598	0.5455430358487675	0.5161018523823799	1.0059784940727203	0	1.2672755458399187	2.040829690636742	1.359870493198352	1.287550345795815	0.8755855013545611	0.4089957006417609	0.6530859520598451	0.9934139986063498	1.1398891702332934	1.6459813824509335	0.2597797490556143	0.2230436562742349	0.2473505171986961	0.39304828110391454	0.23225560097155673	1.0770452916447042	0.42660824935388375	0.646494682483148	0.8989464883983977	0.5740618175135894	1.096576549776249	0.4780437500436044	0.4554592502024451	0.37859226489040554	0.2539548047619781	0.9948358321022017	0.9959840363957235	0.49505828898828197	1.0807788453124088	0.8103454922371542	0.5536781034860256	0.5287144925510059	0.2488702375452751	0.38952739265623637	1.0371977463691207	0.8543379371395531	1.7591114736124607	0.6047127852042824	0.8305352070286514	0.9084349582012475
input//#ImolaGP.edges	1.7644539476466037	0.2386698773349875	0.34040490674819085	1.2260508456601202	0.759533728522062	0.7675601159517373	1.7958867877355458	1.0651295435654873	1.0080225083743282	1.2672755458399187	0	2.677289880530755	0.5712103516458573	2.5548258916357334	0.39621120632859885	1.0183677544940326	1.874523024172467	2.2415782164497657	0.1469574216067252	1.4259104651159147	1.4874441077386924	1.4176434093846428	1.0901719490116961	1.3990918076159164	1.0601347022521694	0.32482648289169597	0.8435806931908711	0.6294198466508375	0.368329057441521	0.6959453891049697	0.17069899606366967	0.7892317957963144	1.2849107352505602	0.8928255325707336	1.0133207410779406	0.2724397137377171	0.2712915094441952	0.7739638389369918	0.9639865508593253	0.4569300536027645	0.722510110509547	0.7405012452898421	1.3188977969874949	1.6568029384961551	0.2300777994707981	0.4129376087003657	3.0045907308145843	0.6700118038412175	0.5220531266316024	1.2425396788024863
input//#TarjetaRosa.edges	2.3478667452071265	2.4922368486395152	2.4595924403477385	2.2059541950152646	2.1891402622363914	2.185333453096777	2.412841964443829	2.4095765938205167	2.1190323073815374	2.040829690636742	2.677289880530755	0	2.431085395768335	2.2398760832150946	2.4256515277027506	2.3589944957218063	1.5503311467145964	1.926628408029127	2.6137430575610163	1.7778670774959195	2.112594243375374	1.9117538042093232	2.0594942625543293	1.7662868163588743	2.2030008294568475	2.570710948888673	2.1431770276632367	2.3109159080426434	2.431493983016885	2.2528399659887635	2.5365477830654735	2.1802357098989438	2.435821308951115	2.281579960517041	1.9719206137752545	2.504484925957641	2.502593937207009	2.204551575532472	2.0428020271298957	2.370475124366987	2.2420453886352854	2.2464089412723576	1.936781121001393	2.2486939729770032	2.516890522719301	2.3826400664608545	1.6390427822451712	2.2230972534168063	2.237093076895734	1.5262718524432568
input//#POSITIONS.edges	1.801195411160008	0.5088170190572681	0.5213121611452353	1.0607449374282636	0.8701756066152214	0.89244072750709	1.9054135290471195	1.1889662253248812	0.7844436931020053	1.359870493198352	0.5712103516458573	2.431085395768335	0	2.365544034406642	0.635233209723375	1.1431603968616884	1.685241166943375	2.1113634920147546	0.5744418019101093	1.2135345511888176	1.6196502422539665	1.3285264178539746	1.2367450894634529	1.2215676597614638	1.1517524737710125	0.8622082637022299	0.986859700677702	0.8430095009959306	0.5230933120585506	0.7869421653564284	0.565483745148479	0.8969222019175962	1.3861464829984178	1.0430174922393016	1.1263745321116965	0.49928970005430107	0.6031877676621621	0.9048463661582156	0.7591324635856568	0.6612720005561792	0.87306701922137	0.8586471048577152	1.4379398651248865	1.7014458285965046	0.5689769558586216	0.5201338682824248	2.924248187873097	0.7678760159133245	0.673665410519351	0.9095687429334856
input//#UnPeligroParaMexico.edges	0.7903719439891298	2.316156014300746	2.2144209848875427	1.3287750459756134	1.7952921631136716	1.7886835352241746	0.7589391039001878	1.4896963480702465	2.112566785541246	1.287550345795815	2.5548258916357334	2.2398760832150946	2.365544034406642	0	2.163135847150376	1.5399421575063301	0.6895449365004981	0.31324767518596774	2.4274395160291085	2.244094897052153	1.0673817838970412	1.1371824822510908	1.4680843898183114	1.1557340840198176	1.4946911893835644	2.364595637440519	1.7141585951496987	1.9340450282789627	2.186496834194213	1.8588805025307638	2.384126895572064	1.7655940958394192	1.2699151563851734	1.6661426106862205	1.5415051505577928	2.2823861778980166	2.2835343821915384	1.7826086347840966	2.1811172388239366	2.097895838032969	1.8412284492818407	1.8162648383468207	1.2359280946482387	0.8980229531395785	2.3247480921649357	2.141888282935368	0.6008333009699234	1.8848140877945163	2.1180855528244664	1.485906186968105
input//Pfizer.edges	1.3727639031612462	0.16024383298176922	0.15625155617055306	0.9066826676270144	0.3678436840367044	0.3744523119262013	1.404196743250188	0.6734394990801296	0.9412720516825307	0.8755855013545611	0.39621120632859885	2.4256515277027506	0.635233209723375	2.163135847150376	0	0.6231936896440458	1.4828329796871094	1.8498881719644082	0.3063384773951121	1.358536733897958	1.095754063253335	1.0259533648992853	0.6950514573320647	1.0074017631305585	0.668444657766812	0.278320650212306	0.44897725200067734	0.23320864032223865	0.11213989766482452	0.3042553446196122	0.248146880953982	0.4045301610127424	0.8932206907652025	0.49723760076829393	0.621630696592583	0.14981703892803275	0.14891350793466543	0.3805272123662792	0.8968845222337192	0.10347193518911224	0.3270742707586264	0.34687100880355526	0.9272077525021374	1.2651128940107974	0.18649924875612026	0.12777216815301132	2.612900686329227	0.2783217593558599	0.47674169481569983	1.0471473735712076
